Name,松山區,信義區,大安區,中山區,中正區,大同區,萬華區,文山區,內湖區,士林區,北投區,total
張家豪,158,181,253,181,154,110,197,379,202,253,218,2367
王文娟,48,57,30,27,23,13,40,34,24,72,56,451
鄭匡宇,18,37,26,29,25,16,40,43,41,35,49,386
黃聖峰,9,15,31,18,13,16,20,33,28,28,35,256
童文薰,151,177,253,216,149,102,184,250,201,441,204,2425
蔣萬安,47295,52032,69266,50224,33503,21700,39140,69020,60842,55874,51433,575590
蘇煥智,144,129,228,161,117,85,125,234,171,211,177,1851
黃珊珊,23938,27202,34803,26244,19746,17263,24849,35893,44466,35999,33492,342141
施奉先,25,23,21,20,17,4,41,42,112,36,33,383
唐新民,16,20,40,28,12,10,23,48,26,41,34,316
謝立康,19,19,9,21,12,14,20,21,19,34,20,227
陳時中,32098,34433,44992,40233,23459,26530,33214,36413,42726,55435,46309,434558
