Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,23423,13869,13568,301,59.21%
0232,1234,878,841,37,71.15%
0233,966,642,627,15,66.46%
0234,930,618,602,16,66.45%
0235,1164,729,712,17,62.63%
0236,670,446,438,8,66.57%
0237,859,521,504,17,60.65%
0238,535,336,332,4,62.80%
0239,762,523,509,14,68.64%
0240,1160,618,607,11,53.28%
0241,1103,582,573,9,52.77%
0242,1164,620,609,11,53.26%
0243,1259,669,661,8,53.14%
0244,882,510,500,10,57.82%
0245,796,472,466,6,59.30%
0246,830,505,494,11,60.84%
0247,1023,599,592,7,58.55%
0248,1183,709,696,13,59.93%
0249,749,427,419,8,57.01%
0250,733,411,400,11,56.07%
0251,806,478,469,9,59.31%
0252,764,434,425,9,56.81%
0253,991,603,591,12,60.85%
0254,1051,577,567,10,54.90%
0255,1012,515,502,13,50.89%
0256,797,447,432,15,56.09%
