Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,29138,16900,16647,253,58.00%
0710,871,469,463,6,53.85%
0711,947,623,608,15,65.79%
0712,1104,583,578,5,52.81%
0713,1072,598,589,9,55.78%
0714,1008,587,579,8,58.23%
0715,968,506,494,12,52.27%
0716,1006,636,631,5,63.22%
0717,1019,627,613,14,61.53%
0718,780,455,450,5,58.33%
0719,1022,507,499,8,49.61%
0720,1027,573,564,9,55.79%
0721,1011,541,538,3,53.51%
0722,1026,588,577,11,57.31%
0723,840,547,537,10,65.12%
0724,731,456,448,8,62.38%
0725,1078,720,713,7,66.79%
0726,1108,644,637,7,58.12%
0727,1077,598,594,4,55.52%
0728,1011,583,578,5,57.67%
0729,973,554,547,7,56.94%
0730,1237,744,731,13,60.15%
0731,1246,742,727,15,59.55%
0732,1189,693,688,5,58.28%
0733,1125,617,607,10,54.84%
0734,1050,613,603,10,58.38%
0735,1135,590,582,8,51.98%
0736,888,484,470,14,54.50%
0737,695,464,454,10,66.76%
0738,894,558,548,10,62.42%
