Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,35263,21053,20679,374,59.70%
0829,1318,750,740,10,56.90%
0830,1304,724,719,5,55.52%
0831,1377,690,680,10,50.11%
0832,1199,581,573,8,48.46%
0833,1271,704,695,9,55.39%
0834,1228,644,640,4,52.44%
0835,1466,838,822,16,57.16%
0836,1217,743,731,12,61.05%
0837,1285,739,724,15,57.51%
0838,1058,722,709,13,68.24%
0839,1207,778,766,12,64.46%
0840,1085,620,610,10,57.14%
0841,1049,690,679,11,65.78%
0842,1227,795,782,13,64.79%
0843,1012,657,647,10,64.92%
0844,1091,662,648,14,60.68%
0845,986,578,564,14,58.62%
0846,963,591,572,19,61.37%
0847,941,686,661,25,72.90%
0848,1398,716,705,11,51.22%
0849,725,526,513,13,72.55%
0850,719,506,493,13,70.38%
0851,1272,751,737,14,59.04%
0852,826,493,483,10,59.69%
0853,864,440,436,4,50.93%
0854,1205,771,757,14,63.98%
0855,1181,831,817,14,70.36%
0856,962,598,580,18,62.16%
0857,740,434,425,9,58.65%
0858,711,417,410,7,58.65%
0859,947,555,549,6,58.61%
0860,782,453,446,7,57.93%
0861,647,370,366,4,57.19%
