Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,293753,166744,164687,2057,56.76%
1420,959,581,574,7,60.58%
1421,763,452,446,6,59.24%
1422,818,506,503,3,61.86%
1423,985,561,549,12,56.95%
1424,1109,705,698,7,63.57%
1425,1149,693,686,7,60.31%
1426,1250,750,740,10,60.00%
1427,1104,698,678,20,63.22%
1428,1370,765,752,13,55.84%
1429,1201,676,670,6,56.29%
1430,1226,660,652,8,53.83%
1431,1426,770,759,11,54.00%
1432,1560,710,700,10,45.51%
1433,1556,763,755,8,49.04%
1434,1296,571,565,6,44.06%
1435,1565,740,732,8,47.28%
1436,1337,617,613,4,46.15%
1437,1368,795,784,11,58.11%
1438,1392,908,895,13,65.23%
1439,1157,677,668,9,58.51%
1440,1567,846,831,15,53.99%
1441,1814,960,943,17,52.92%
1442,1223,715,709,6,58.46%
1443,1034,608,604,4,58.80%
1444,1188,553,548,5,46.55%
1445,1502,832,819,13,55.39%
1446,1177,704,691,13,59.81%
1447,1213,689,679,10,56.80%
1448,1396,666,660,6,47.71%
1449,1088,623,617,6,57.26%
1450,1431,799,793,6,55.84%
1451,1229,683,677,6,55.57%
1452,1457,796,782,14,54.63%
1453,1041,611,602,9,58.69%
1454,1153,694,686,8,60.19%
1455,1099,574,566,8,52.23%
1456,1377,750,746,4,54.47%
1457,1382,743,734,9,53.76%
1458,1402,770,764,6,54.92%
1459,1489,784,777,7,52.65%
1460,1449,714,707,7,49.28%
1461,1423,749,744,5,52.64%
1462,1233,681,672,9,55.23%
1463,1334,765,760,5,57.35%
1464,1333,743,735,8,55.74%
1465,1709,967,960,7,56.58%
1466,1594,871,861,10,54.64%
1467,1492,780,772,8,52.28%
1468,1400,774,766,8,55.29%
1469,1364,719,708,11,52.71%
1470,1554,817,816,1,52.57%
1471,559,345,342,3,61.72%
1472,388,265,262,3,68.30%
1473,1226,711,700,11,57.99%
1474,1219,710,700,10,58.24%
1475,1356,735,727,8,54.20%
1476,1452,919,912,7,63.29%
1477,1454,866,848,18,59.56%
1478,1465,855,845,10,58.36%
1479,818,493,488,5,60.27%
1480,1015,655,652,3,64.53%
1481,1029,621,609,12,60.35%
1482,2269,239,237,2,10.53%
1483,1011,569,560,9,56.28%
1484,1062,639,626,13,60.17%
1485,1078,644,638,6,59.74%
1486,823,525,516,9,63.79%
1487,947,599,592,7,63.25%
1488,958,564,560,4,58.87%
1489,1048,596,578,18,56.87%
1490,926,550,546,4,59.40%
1491,1033,572,564,8,55.37%
1492,1055,554,544,10,52.51%
1493,1265,788,777,11,62.29%
1494,1164,616,609,7,52.92%
1495,917,518,512,6,56.49%
1496,1052,569,563,6,54.09%
1497,1234,718,709,9,58.18%
1498,1000,585,572,13,58.50%
1499,1084,743,728,15,68.54%
1500,1092,666,650,16,60.99%
1501,994,682,674,8,68.61%
1502,1179,708,702,6,60.05%
1503,1225,738,734,4,60.24%
1504,1188,701,694,7,59.01%
1505,964,553,547,6,57.37%
1506,957,556,547,9,58.10%
1507,1244,686,674,12,55.14%
1508,1118,636,628,8,56.89%
1509,1128,671,665,6,59.49%
1510,1163,682,675,7,58.64%
1511,1220,685,672,13,56.15%
1512,1312,801,790,11,61.05%
1513,1451,783,776,7,53.96%
1514,1465,745,736,9,50.85%
1515,1701,963,952,11,56.61%
1516,1381,708,702,6,51.27%
1517,1181,722,709,13,61.13%
1518,1404,802,790,12,57.12%
1519,1335,743,731,12,55.66%
1520,1245,755,746,9,60.64%
1521,1235,673,666,7,54.49%
1522,976,582,571,11,59.63%
1523,960,516,509,7,53.75%
1524,1427,805,798,7,56.41%
1525,1163,716,696,20,61.56%
1526,1412,883,863,20,62.54%
1527,1545,985,974,11,63.75%
1528,1450,891,884,7,61.45%
1529,1822,1048,1037,11,57.52%
1530,1439,836,824,12,58.10%
1531,1338,754,743,11,56.35%
1532,1443,818,800,18,56.69%
1533,1412,816,807,9,57.79%
1534,1235,750,743,7,60.73%
1535,1500,895,885,10,59.67%
1536,1261,756,749,7,59.95%
1537,1319,744,736,8,56.41%
1538,1420,857,847,10,60.35%
1539,1121,692,684,8,61.73%
1540,1157,696,688,8,60.16%
1541,1271,728,720,8,57.28%
1542,1038,589,582,7,56.74%
1543,1075,606,598,8,56.37%
1544,991,593,586,7,59.84%
1545,1122,615,607,8,54.81%
1546,1207,674,661,13,55.84%
1547,1269,776,765,11,61.15%
1548,1151,714,705,9,62.03%
1549,1039,655,650,5,63.04%
1550,1110,642,632,10,57.84%
1551,907,514,510,4,56.67%
1552,1123,619,609,10,55.12%
1553,1126,644,644,0,57.19%
1554,1331,669,663,6,50.26%
1555,1444,863,851,12,59.76%
1556,1426,870,845,25,61.01%
1557,1395,899,886,13,64.44%
1558,1058,710,698,12,67.11%
1559,1388,787,780,7,56.70%
1560,1268,708,696,12,55.84%
1561,1193,676,666,10,56.66%
1562,1299,665,660,5,51.19%
1563,1328,704,701,3,53.01%
1564,1486,795,785,10,53.50%
1565,1347,803,793,10,59.61%
1566,1135,705,695,10,62.11%
1567,1353,805,800,5,59.50%
1568,1125,686,682,4,60.98%
1569,1073,677,667,10,63.09%
1570,1098,692,683,9,63.02%
1571,1424,893,880,13,62.71%
1572,1163,681,668,13,58.56%
1573,1250,752,744,8,60.16%
1574,1419,812,804,8,57.22%
1575,1217,670,663,7,55.05%
1576,1525,873,863,10,57.25%
1577,1554,891,886,5,57.34%
1578,1100,583,577,6,53.00%
1579,1047,594,584,10,56.73%
1580,1413,874,861,13,61.85%
1581,1520,907,892,15,59.67%
1582,1388,842,829,13,60.66%
1583,1151,688,681,7,59.77%
1584,1227,686,675,11,55.91%
1585,1478,835,825,10,56.50%
1586,1331,811,802,9,60.93%
1587,1549,890,877,13,57.46%
1588,1701,867,856,11,50.97%
1589,1663,850,846,4,51.11%
1590,1663,867,859,8,52.13%
1591,1654,858,848,10,51.87%
1592,1746,849,842,7,48.63%
1593,1675,893,886,7,53.31%
1594,1749,950,940,10,54.32%
1595,1820,859,852,7,47.20%
1596,1320,750,742,8,56.82%
1597,1018,621,614,7,61.00%
1598,1163,677,668,9,58.21%
1599,1133,641,631,10,56.58%
1600,1152,683,677,6,59.29%
1601,1290,807,795,12,62.56%
1602,1309,755,742,13,57.68%
1603,1229,680,675,5,55.33%
1604,1197,679,670,9,56.73%
1605,1207,672,667,5,55.68%
1606,871,512,506,6,58.78%
1607,1110,679,669,10,61.17%
1608,1034,575,571,4,55.61%
1609,1442,843,831,12,58.46%
1610,1383,823,812,11,59.51%
1611,1567,895,886,9,57.12%
1612,1270,780,773,7,61.42%
1613,1369,822,811,11,60.04%
1614,1205,689,679,10,57.18%
1615,946,535,529,6,56.55%
1616,1277,702,693,9,54.97%
1617,1092,666,661,5,60.99%
1618,928,496,493,3,53.45%
1619,851,421,418,3,49.47%
1620,1265,648,645,3,51.23%
1621,1361,655,649,6,48.13%
1622,1384,846,829,17,61.13%
1623,1376,794,789,5,57.70%
1624,1024,672,666,6,65.63%
1625,1259,762,758,4,60.52%
1626,1315,844,831,13,64.18%
1627,1179,723,708,15,61.32%
1628,1221,680,675,5,55.69%
1629,1229,681,671,10,55.41%
1630,1607,856,840,16,53.27%
1631,1903,989,981,8,51.97%
1632,1396,790,786,4,56.59%
1633,1163,652,649,3,56.06%
1634,1071,640,630,10,59.76%
1635,1103,646,638,8,58.57%
1636,1098,687,682,5,62.57%
1637,1396,817,804,13,58.52%
1638,1340,816,801,15,60.90%
1639,1472,920,913,7,62.50%
1640,1458,930,913,17,63.79%
1641,1419,905,890,15,63.78%
1642,1010,570,565,5,56.44%
1643,1049,607,601,6,57.86%
1644,1187,631,622,9,53.16%
1645,1183,656,649,7,55.45%
1646,1006,548,539,9,54.47%
1647,1286,747,737,10,58.09%
1648,1272,740,730,10,58.18%
1649,1422,806,795,11,56.68%
1650,1702,881,873,8,51.76%
1651,1404,804,793,11,57.26%
