Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,78470,48884,48146,738,62.30%
0282,1287,778,768,10,60.45%
0283,1053,443,441,2,42.07%
0284,995,533,526,7,53.57%
0285,852,533,527,6,62.56%
0286,876,493,487,6,56.28%
0287,1026,610,603,7,59.45%
0288,1128,689,688,1,61.08%
0289,1012,628,612,16,62.06%
0290,918,604,595,9,65.80%
0291,1342,1043,1022,21,77.72%
0292,1294,789,782,7,60.97%
0293,1329,810,797,13,60.95%
0294,1334,762,744,18,57.12%
0295,1284,799,787,12,62.23%
0296,1372,819,813,6,59.69%
0297,1371,785,771,14,57.26%
0298,1181,740,729,11,62.66%
0299,1188,738,730,8,62.12%
0300,1323,798,788,10,60.32%
0301,1184,688,682,6,58.11%
0302,1245,774,768,6,62.17%
0303,1263,731,725,6,57.88%
0304,1347,793,789,4,58.87%
0305,1532,833,824,9,54.37%
0306,1512,840,819,21,55.56%
0307,1651,922,911,11,55.84%
0308,1419,710,705,5,50.04%
0309,1107,649,641,8,58.63%
0310,662,559,548,11,84.44%
0311,967,582,573,9,60.19%
0312,827,502,499,3,60.70%
0313,801,615,587,28,76.78%
0314,818,584,574,10,71.39%
0315,1271,739,722,17,58.14%
0316,1445,791,785,6,54.74%
0317,913,552,544,8,60.46%
0318,1242,699,691,8,56.28%
0319,986,651,647,4,66.02%
0320,1003,628,623,5,62.61%
0321,1157,653,645,8,56.44%
0322,1263,793,786,7,62.79%
0323,1339,875,858,17,65.35%
0324,1277,790,781,9,61.86%
0325,1392,755,748,7,54.24%
0326,1218,707,693,14,58.05%
0327,996,605,594,11,60.74%
0328,1217,728,723,5,59.82%
0329,852,531,524,7,62.32%
0330,1153,688,680,8,59.67%
0331,1402,1025,1009,16,73.11%
0332,881,623,614,9,70.72%
0333,1022,685,667,18,67.03%
0334,827,526,516,10,63.60%
0335,964,635,625,10,65.87%
0336,1017,689,680,9,67.75%
0337,980,693,678,15,70.71%
0338,969,684,672,12,70.59%
0339,1282,852,833,19,66.46%
0340,1389,982,950,32,70.70%
0341,283,195,192,3,68.90%
0342,737,467,457,10,63.36%
0343,698,534,519,15,76.50%
0344,795,600,593,7,75.47%
0345,829,665,638,27,80.22%
0346,948,713,701,12,75.21%
0347,1236,742,733,9,60.03%
0348,1151,683,679,4,59.34%
0349,303,202,199,3,66.67%
0350,863,577,571,6,66.86%
0351,837,563,550,13,67.26%
0352,803,535,528,7,66.63%
0353,708,454,446,8,64.12%
0354,322,199,197,2,61.80%
