Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,111871,61934,61253,681,55.36%
0862,926,503,494,9,54.32%
0863,915,523,515,8,57.16%
0864,830,458,450,8,55.18%
0865,1003,583,575,8,58.13%
0866,1372,785,776,9,57.22%
0867,1293,734,731,3,56.77%
0868,1152,638,635,3,55.38%
0869,960,592,582,10,61.67%
0870,1146,676,671,5,58.99%
0871,1091,690,679,11,63.24%
0872,1233,808,799,9,65.53%
0873,1014,567,558,9,55.92%
0874,1140,766,757,9,67.19%
0875,1192,754,743,11,63.26%
0876,1194,637,626,11,53.35%
0877,1141,619,609,10,54.25%
0878,1173,666,662,4,56.78%
0879,649,405,399,6,62.40%
0880,1154,772,757,15,66.90%
0881,1851,1050,1043,7,56.73%
0882,1625,942,930,12,57.97%
0883,1601,916,907,9,57.21%
0884,1200,777,769,8,64.75%
0885,1250,715,707,8,57.20%
0886,1217,775,768,7,63.68%
0887,1635,1051,1036,15,64.28%
0888,1354,769,763,6,56.79%
0889,1415,744,731,13,52.58%
0890,1537,839,827,12,54.59%
0891,1528,778,775,3,50.92%
0892,1489,710,705,5,47.68%
0893,1587,693,691,2,43.67%
0894,1564,794,790,4,50.77%
0895,1472,806,797,9,54.76%
0896,1540,786,780,6,51.04%
0897,1434,648,644,4,45.19%
0898,1540,779,775,4,50.58%
0899,1858,917,910,7,49.35%
0900,2012,1038,1028,10,51.59%
0901,1580,804,794,10,50.89%
0902,1890,955,946,9,50.53%
0903,2055,1046,1037,9,50.90%
0904,1673,883,868,15,52.78%
0905,1641,901,896,5,54.91%
0906,1724,927,917,10,53.77%
0907,1858,959,955,4,51.61%
0908,1656,893,884,9,53.93%
0909,1587,832,828,4,52.43%
0910,1584,839,831,8,52.97%
0911,1612,817,811,6,50.68%
0912,1521,731,725,6,48.06%
0913,1705,790,782,8,46.33%
0914,1606,787,779,8,49.00%
0915,1582,719,710,9,45.45%
0916,1452,787,784,3,54.20%
0917,1533,755,751,4,49.25%
0918,1500,742,741,1,49.47%
0919,1613,829,823,6,51.39%
0920,1503,711,707,4,47.31%
0921,1752,1023,1012,11,58.39%
0922,1897,1128,1119,9,59.46%
0923,1536,927,916,11,60.35%
0924,1529,954,941,13,62.39%
0925,1065,612,607,5,57.46%
0926,1292,754,744,10,58.36%
0927,1101,553,547,6,50.23%
0928,1068,668,664,4,62.55%
0929,1873,602,595,7,32.14%
0930,1211,712,706,6,58.79%
0931,1164,765,757,8,65.72%
0932,1228,781,765,16,63.60%
0933,1050,694,688,6,66.10%
0934,1317,940,924,16,71.37%
0935,582,377,365,12,64.78%
0936,733,455,451,4,62.07%
0937,864,492,486,6,56.94%
0938,913,658,636,22,72.07%
0939,690,536,516,20,77.68%
0940,1136,645,642,3,56.78%
0941,1040,582,574,8,55.96%
0942,1251,657,646,11,52.52%
0943,904,616,603,13,68.14%
0944,513,393,386,7,76.61%
