Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,25078,15005,14724,281,59.83%
0161,1026,608,596,12,59.26%
0162,944,599,590,9,63.45%
0163,753,517,504,13,68.66%
0164,1076,690,675,15,64.13%
0165,1087,700,684,16,64.40%
0166,868,484,472,12,55.76%
0167,854,444,440,4,51.99%
0168,872,424,418,6,48.62%
0169,858,557,542,15,64.92%
0170,882,566,548,18,64.17%
0171,907,562,552,10,61.96%
0172,942,536,530,6,56.90%
0173,967,607,595,12,62.77%
0174,751,566,560,6,75.37%
0175,786,609,594,15,77.48%
0176,1030,671,653,18,65.15%
0177,1101,673,665,8,61.13%
0178,875,518,510,8,59.20%
0179,817,439,430,9,53.73%
0180,1195,771,753,18,64.52%
0181,1038,580,570,10,55.88%
0182,1027,606,603,3,59.01%
0183,1097,584,575,9,53.24%
0184,662,413,403,10,62.39%
0185,901,486,478,8,53.94%
0186,893,421,418,3,47.14%
0187,869,374,366,8,43.04%
