Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,137800,81212,80232,980,58.93%
1274,626,371,365,6,59.27%
1275,770,416,410,6,54.03%
1276,662,331,325,6,50.00%
1277,1115,727,720,7,65.20%
1278,742,497,480,17,66.98%
1279,786,585,566,19,74.43%
1280,678,388,385,3,57.23%
1281,656,415,412,3,63.26%
1282,678,415,406,9,61.21%
1283,655,448,441,7,68.40%
1284,758,372,365,7,49.08%
1285,727,431,425,6,59.28%
1286,489,293,291,2,59.92%
1287,882,515,509,6,58.39%
1288,863,508,504,4,58.86%
1289,1083,532,525,7,49.12%
1290,1269,589,584,5,46.41%
1291,1232,517,515,2,41.96%
1292,864,539,534,5,62.38%
1293,1202,688,676,12,57.24%
1294,813,479,474,5,58.92%
1295,775,439,432,7,56.65%
1296,1148,700,692,8,60.98%
1297,812,510,502,8,62.81%
1298,794,559,553,6,70.40%
1299,1029,580,575,5,56.37%
1300,890,536,527,9,60.22%
1301,928,517,512,5,55.71%
1302,995,505,500,5,50.75%
1303,1012,629,625,4,62.15%
1304,980,607,595,12,61.94%
1305,938,560,555,5,59.70%
1306,941,527,519,8,56.00%
1307,957,564,555,9,58.93%
1308,884,547,540,7,61.88%
1309,927,578,562,16,62.35%
1310,1224,708,696,12,57.84%
1311,1295,236,233,3,18.22%
1312,1025,650,641,9,63.41%
1313,1199,713,699,14,59.47%
1314,959,602,593,9,62.77%
1315,1179,696,685,11,59.03%
1316,896,532,529,3,59.38%
1317,1046,648,643,5,61.95%
1318,1051,677,668,9,64.41%
1319,659,381,378,3,57.81%
1320,675,387,382,5,57.33%
1321,637,400,398,2,62.79%
1322,560,309,306,3,55.18%
1323,606,325,321,4,53.63%
1324,948,606,598,8,63.92%
1325,778,534,526,8,68.64%
1326,732,448,446,2,61.20%
1327,755,437,435,2,57.88%
1328,698,434,429,5,62.18%
1329,883,541,534,7,61.27%
1330,869,537,529,8,61.80%
1331,859,528,521,7,61.47%
1332,851,485,478,7,56.99%
1333,880,513,505,8,58.30%
1334,815,467,464,3,57.30%
1335,851,446,442,4,52.41%
1336,918,505,503,2,55.01%
1337,873,500,495,5,57.27%
1338,818,452,448,4,55.26%
1339,907,491,483,8,54.13%
1340,712,427,421,6,59.97%
1341,737,425,424,1,57.67%
1342,995,529,520,9,53.17%
1343,978,553,550,3,56.54%
1344,1021,590,587,3,57.79%
1345,994,595,589,6,59.86%
1346,1233,695,684,11,56.37%
1347,1212,711,702,9,58.66%
1348,671,392,389,3,58.42%
1349,743,430,426,4,57.87%
1350,665,378,373,5,56.84%
1351,655,421,416,5,64.27%
1352,732,486,474,12,66.39%
1353,800,523,516,7,65.38%
1354,1080,727,718,9,67.31%
1355,932,637,630,7,68.35%
1356,943,534,530,4,56.63%
1357,804,432,430,2,53.73%
1358,872,492,482,10,56.42%
1359,994,550,544,6,55.33%
1360,878,529,522,7,60.25%
1361,753,420,419,1,55.78%
1362,837,517,509,8,61.77%
1363,874,556,553,3,63.62%
1364,1186,663,656,7,55.90%
1365,1237,692,684,8,55.94%
1366,1180,629,623,6,53.31%
1367,839,561,552,9,66.87%
1368,871,588,570,18,67.51%
1369,721,471,465,6,65.33%
1370,742,483,475,8,65.09%
1371,687,451,443,8,65.65%
1372,621,414,412,2,66.67%
1373,1375,754,750,4,54.84%
1374,1164,676,669,7,58.08%
1375,1186,678,669,9,57.17%
1376,964,608,593,15,63.07%
1377,845,564,557,7,66.75%
1378,847,557,552,5,65.76%
1379,1029,663,652,11,64.43%
1380,865,492,486,6,56.88%
1381,1237,741,735,6,59.90%
1382,1208,690,686,4,57.12%
1383,1220,808,798,10,66.23%
1384,1239,804,797,7,64.89%
1385,1114,680,673,7,61.04%
1386,1315,747,745,2,56.81%
1387,847,514,506,8,60.68%
1388,856,513,505,8,59.93%
1389,1006,657,654,3,65.31%
1390,942,543,539,4,57.64%
1391,1076,635,632,3,59.01%
1392,1122,640,632,8,57.04%
1393,817,454,451,3,55.57%
1394,782,434,433,1,55.50%
1395,913,579,570,9,63.42%
1396,1189,653,648,5,54.92%
1397,979,608,598,10,62.10%
1398,1157,603,597,6,52.12%
1399,1246,642,634,8,51.52%
1400,1142,721,708,13,63.13%
1401,1124,677,671,6,60.23%
1402,1129,695,687,8,61.56%
1403,1099,683,680,3,62.15%
1404,1081,681,672,9,63.00%
1405,1060,612,607,5,57.74%
1406,1293,665,656,9,51.43%
1407,1262,657,646,11,52.06%
1408,1269,717,713,4,56.50%
1409,1084,578,573,5,53.32%
1410,1117,705,693,12,63.12%
1411,1136,706,697,9,62.15%
1412,1155,699,693,6,60.52%
1413,1143,715,707,8,62.55%
1414,1148,713,702,11,62.11%
1415,1131,691,684,7,61.10%
1416,872,583,573,10,66.86%
1417,981,641,633,8,65.34%
1418,920,536,529,7,58.26%
1419,909,497,495,2,54.68%
