Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,41753,26354,25822,532,63.12%
0188,985,547,541,6,55.53%
0189,1013,527,514,13,52.02%
0190,1132,512,504,8,45.23%
0191,1093,763,741,22,69.81%
0192,1160,843,819,24,72.67%
0193,1050,640,628,12,60.95%
0194,1192,925,899,26,77.60%
0195,1082,603,595,8,55.73%
0196,1061,617,604,13,58.15%
0197,898,606,586,20,67.48%
0198,1111,727,711,16,65.44%
0199,990,580,568,12,58.59%
0200,935,616,602,14,65.88%
0201,1200,678,669,9,56.50%
0202,819,620,605,15,75.70%
0203,811,613,592,21,75.59%
0204,882,666,649,17,75.51%
0205,793,413,400,13,52.08%
0206,1010,561,547,14,55.54%
0207,879,551,544,7,62.68%
0208,687,437,427,10,63.61%
0209,869,526,519,7,60.53%
0210,899,609,598,11,67.74%
0211,981,694,680,14,70.74%
0212,1108,761,750,11,68.68%
0213,898,568,552,16,63.25%
0214,1018,588,578,10,57.76%
0215,933,528,522,6,56.59%
0216,1155,767,752,15,66.41%
0217,1061,739,729,10,69.65%
0218,801,647,620,27,80.77%
0219,961,578,569,9,60.15%
0220,886,467,458,9,52.71%
0221,798,573,559,14,71.80%
0222,867,638,625,13,73.59%
0223,798,509,498,11,63.78%
0224,863,530,523,7,61.41%
0225,811,491,481,10,60.54%
0226,830,483,477,6,58.19%
0227,870,551,546,5,63.33%
0228,828,502,495,7,60.63%
0229,876,478,476,2,54.57%
0230,888,543,537,6,61.15%
0231,971,539,533,6,55.51%
