Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,33223,21253,20839,414,63.97%
0099,1111,745,737,8,67.06%
0100,649,365,359,6,56.24%
0101,696,435,431,4,62.50%
0102,1149,651,643,8,56.66%
0103,1127,690,673,17,61.22%
0104,1263,749,737,12,59.30%
0105,1220,786,770,16,64.43%
0106,956,571,564,7,59.73%
0107,977,604,593,11,61.82%
0108,1410,936,919,17,66.38%
0109,1041,644,630,14,61.86%
0110,987,577,568,9,58.46%
0111,1155,743,732,11,64.33%
0112,1214,801,783,18,65.98%
0113,608,404,398,6,66.45%
0114,724,515,504,11,71.13%
0115,1250,873,857,16,69.84%
0116,1119,787,765,22,70.33%
0117,1023,637,620,17,62.27%
0118,956,628,624,4,65.69%
0119,1135,696,681,15,61.32%
0120,695,429,419,10,61.73%
0121,822,543,537,6,66.06%
0122,1047,631,619,12,60.27%
0123,1097,654,640,14,59.62%
0124,913,591,574,17,64.73%
0125,744,499,490,9,67.07%
0126,905,574,557,17,63.43%
0127,859,539,527,12,62.75%
0128,616,434,420,14,70.45%
0129,684,526,514,12,76.90%
0130,832,598,585,13,71.88%
0131,856,626,612,14,73.13%
0132,761,455,448,7,59.79%
0133,622,317,309,8,50.96%
