Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,15775,11215,10969,246,71.09%
0380,1202,789,773,16,65.64%
0381,871,580,567,13,66.59%
0382,908,621,607,14,68.39%
0383,515,423,409,14,82.14%
0384,743,498,487,11,67.03%
0385,792,582,576,6,73.48%
0386,869,629,615,14,72.38%
0387,725,532,520,12,73.38%
0388,787,609,595,14,77.38%
0389,830,577,566,11,69.52%
0390,778,541,526,15,69.54%
0391,879,579,571,8,65.87%
0392,963,665,653,12,69.06%
0393,990,700,684,16,70.71%
0394,804,684,653,31,85.07%
0395,1089,735,723,12,67.49%
0396,1202,869,851,18,72.30%
0397,828,602,593,9,72.71%
