Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,154114,86450,85470,980,56.09%
0462,1009,634,627,7,62.83%
0463,997,631,626,5,63.29%
0464,1169,727,719,8,62.19%
0465,1262,622,618,4,49.29%
0466,1240,740,727,13,59.68%
0467,1319,697,691,6,52.84%
0468,1536,853,834,19,55.53%
0469,1200,654,650,4,54.50%
0470,1421,747,744,3,52.57%
0471,1434,740,730,10,51.60%
0472,1272,704,699,5,55.35%
0473,1233,774,765,9,62.77%
0474,1888,1020,1008,12,54.03%
0475,1342,666,661,5,49.63%
0476,1396,760,755,5,54.44%
0477,1543,774,764,10,50.16%
0478,1422,723,711,12,50.84%
0479,1537,797,791,6,51.85%
0480,1464,781,774,7,53.35%
0481,1341,680,674,6,50.71%
0482,1198,614,612,2,51.25%
0483,1236,584,576,8,47.25%
0484,1284,613,603,10,47.74%
0485,1155,526,523,3,45.54%
0486,987,531,521,10,53.80%
0487,1027,493,486,7,48.00%
0488,1013,486,482,4,47.98%
0489,1189,360,357,3,30.28%
0490,948,498,494,4,52.53%
0491,962,481,477,4,50.00%
0492,1575,905,899,6,57.46%
0493,1573,893,886,7,56.77%
0494,1234,803,794,9,65.07%
0495,1474,879,869,10,59.63%
0496,1224,737,723,14,60.21%
0497,1091,631,626,5,57.84%
0498,1068,631,625,6,59.08%
0499,1102,581,576,5,52.72%
0500,1243,764,755,9,61.46%
0501,922,575,566,9,62.36%
0502,897,583,581,2,64.99%
0503,921,580,575,5,62.98%
0504,888,639,626,13,71.96%
0505,1100,798,785,13,72.55%
0506,1338,818,808,10,61.14%
0507,1314,790,777,13,60.12%
0508,1070,478,472,6,44.67%
0509,1478,1016,1000,16,68.74%
0510,977,577,569,8,59.06%
0511,1209,736,728,8,60.88%
0512,1157,642,636,6,55.49%
0513,1420,732,724,8,51.55%
0514,1464,716,707,9,48.91%
0515,1379,691,687,4,50.11%
0516,1419,754,748,6,53.14%
0517,1358,681,676,5,50.15%
0518,1323,707,702,5,53.44%
0519,1487,698,685,13,46.94%
0520,1363,668,661,7,49.01%
0521,1369,654,650,4,47.77%
0522,1666,810,805,5,48.62%
0523,1440,749,737,12,52.01%
0524,608,418,413,5,68.75%
0525,961,624,612,12,64.93%
0526,981,635,628,7,64.73%
0527,930,653,649,4,70.22%
0528,1419,805,796,9,56.73%
0529,1394,887,877,10,63.63%
0530,1410,873,862,11,61.91%
0531,1461,855,843,12,58.52%
0532,1256,711,702,9,56.61%
0533,987,545,541,4,55.22%
0534,991,527,520,7,53.18%
0535,893,600,587,13,67.19%
0536,1072,701,687,14,65.39%
0537,1261,764,756,8,60.59%
0538,1357,817,810,7,60.21%
0539,1280,743,731,12,58.05%
0540,1305,792,785,7,60.69%
0541,1322,796,786,10,60.21%
0542,1027,627,618,9,61.05%
0543,1035,663,656,7,64.06%
0544,989,584,573,11,59.05%
0545,1075,661,652,9,61.49%
0546,1244,691,685,6,55.55%
0547,1199,640,620,20,53.38%
0548,1089,653,649,4,59.96%
0549,928,539,534,5,58.08%
0550,1074,633,629,4,58.94%
0551,921,604,596,8,65.58%
0552,994,599,592,7,60.26%
0553,1036,640,635,5,61.78%
0554,952,566,561,5,59.45%
0555,964,564,559,5,58.51%
0556,1083,661,654,7,61.03%
0557,993,614,610,4,61.83%
0558,1059,626,618,8,59.11%
0559,1009,636,627,9,63.03%
0560,985,626,619,7,63.55%
0561,1132,684,677,7,60.42%
0562,1143,570,561,9,49.87%
0563,1096,648,638,10,59.12%
0564,1125,667,662,5,59.29%
0565,1100,668,663,5,60.73%
0566,1067,635,624,11,59.51%
0567,1118,669,657,12,59.84%
0568,1070,552,547,5,51.59%
0569,1049,574,564,10,54.72%
0570,1002,553,548,5,55.19%
0571,920,485,481,4,52.72%
0572,969,506,503,3,52.22%
0573,1013,510,502,8,50.35%
0574,995,509,504,5,51.16%
0575,921,529,521,8,57.44%
0576,1213,629,623,6,51.85%
0577,1214,614,607,7,50.58%
0578,1276,658,656,2,51.57%
0579,1188,628,625,3,52.86%
0580,1346,787,776,11,58.47%
0581,1273,748,740,8,58.76%
0582,1548,870,866,4,56.20%
0583,1417,733,727,6,51.73%
0584,1160,556,549,7,47.93%
0585,1161,607,600,7,52.28%
0586,1934,1122,1108,14,58.01%
0587,1402,777,764,13,55.42%
0588,1425,744,737,7,52.21%
0589,1726,819,811,8,47.45%
