Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12162,8473,8279,194,69.67%
0045,895,654,633,21,73.07%
0046,604,473,464,9,78.31%
0047,924,523,507,16,56.60%
0048,413,327,319,8,79.18%
0049,376,302,293,9,80.32%
0050,480,397,392,5,82.71%
0051,924,586,574,12,63.42%
0052,1130,668,657,11,59.12%
0053,772,419,412,7,54.27%
0054,821,459,450,9,55.91%
0055,530,471,461,10,88.87%
0056,745,628,608,20,84.30%
0057,392,202,198,4,51.53%
0058,457,294,290,4,64.33%
0059,617,438,423,15,70.99%
0060,565,449,443,6,79.47%
0061,573,398,384,14,69.46%
0062,312,235,231,4,75.32%
0063,632,550,540,10,87.03%
