Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,38377,22461,22214,247,58.53%
0797,1227,759,749,10,61.86%
0798,1186,726,713,13,61.21%
0799,1296,735,725,10,56.71%
0800,1316,771,765,6,58.59%
0801,1360,655,652,3,48.16%
0802,1257,655,647,8,52.11%
0803,1202,697,683,14,57.99%
0804,1166,563,557,6,48.28%
0805,1347,789,782,7,58.57%
0806,1165,728,715,13,62.49%
0807,1042,488,483,5,46.83%
0808,1190,625,616,9,52.52%
0809,1193,749,742,7,62.78%
0810,1280,771,763,8,60.23%
0811,1220,686,683,3,56.23%
0812,1100,603,601,2,54.82%
0813,1059,599,594,5,56.56%
0814,1245,725,719,6,58.23%
0815,1167,717,709,8,61.44%
0816,1181,652,647,5,55.21%
0817,1198,783,776,7,65.36%
0818,1115,727,716,11,65.20%
0819,1063,679,675,4,63.88%
0820,1200,758,755,3,63.17%
0821,1591,1006,994,12,63.23%
0822,1327,737,729,8,55.54%
0823,1252,714,711,3,57.03%
0824,1053,643,631,12,61.06%
0825,657,431,424,7,65.60%
0826,1276,795,784,11,62.30%
0827,1203,742,733,9,61.68%
0828,1243,753,741,12,60.58%
