Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,23286,13558,13402,156,58.22%
1206,790,490,484,6,62.03%
1207,1206,624,619,5,51.74%
1208,1251,765,756,9,61.15%
1209,790,448,447,1,56.71%
1210,870,536,532,4,61.61%
1211,1154,663,654,9,57.45%
1212,1105,645,637,8,58.37%
1213,1140,623,618,5,54.65%
1214,597,350,345,5,58.63%
1215,1140,640,633,7,56.14%
1216,882,508,506,2,57.60%
1217,910,487,483,4,53.52%
1218,788,484,479,5,61.42%
1219,959,591,583,8,61.63%
1220,1023,527,524,3,51.52%
1221,863,486,478,8,56.32%
1222,653,400,394,6,61.26%
1223,702,451,442,9,64.25%
1224,1063,608,604,4,57.20%
1225,923,564,556,8,61.11%
1226,731,420,416,4,57.46%
1227,820,512,500,12,62.44%
1228,976,576,565,11,59.02%
1229,897,514,508,6,57.30%
1230,1053,646,639,7,61.35%
