Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,153507,91104,89906,1198,59.35%
1652,882,483,476,7,54.76%
1653,824,481,474,7,58.37%
1654,1173,615,610,5,52.43%
1655,1164,614,612,2,52.75%
1656,1201,589,582,7,49.04%
1657,1145,582,575,7,50.83%
1658,1216,650,644,6,53.45%
1659,1258,621,613,8,49.36%
1660,796,541,532,9,67.96%
1661,785,523,516,7,66.62%
1662,625,398,392,6,63.68%
1663,1043,630,623,7,60.40%
1664,964,579,570,9,60.06%
1665,997,627,618,9,62.89%
1666,767,473,469,4,61.67%
1667,1026,606,598,8,59.06%
1668,1012,663,654,9,65.51%
1669,1119,708,697,11,63.27%
1670,1230,861,846,15,70.00%
1671,910,587,577,10,64.51%
1672,894,541,533,8,60.51%
1673,1140,641,626,15,56.23%
1674,1662,457,453,4,27.50%
1675,585,324,319,5,55.38%
1676,1382,825,809,16,59.70%
1677,1322,877,859,18,66.34%
1678,913,539,524,15,59.04%
1679,1212,656,644,12,54.13%
1680,998,671,666,5,67.23%
1681,624,394,390,4,63.14%
1682,655,487,483,4,74.35%
1683,1216,894,886,8,73.52%
1684,788,523,517,6,66.37%
1685,784,488,478,10,62.24%
1686,944,610,607,3,64.62%
1687,981,574,564,10,58.51%
1688,959,629,615,14,65.59%
1689,878,567,552,15,64.58%
1690,1240,767,755,12,61.85%
1691,1333,839,828,11,62.94%
1692,1228,749,738,11,60.99%
1693,876,615,600,15,70.21%
1694,1351,895,880,15,66.25%
1695,1327,812,800,12,61.19%
1696,792,575,560,15,72.60%
1697,1061,656,646,10,61.83%
1698,1168,757,749,8,64.81%
1699,1317,866,856,10,65.76%
1700,1093,642,639,3,58.74%
1701,1399,773,766,7,55.25%
1702,964,649,643,6,67.32%
1703,905,526,520,6,58.12%
1704,953,550,545,5,57.71%
1705,1145,677,670,7,59.13%
1706,984,577,569,8,58.64%
1707,1178,703,696,7,59.68%
1708,1280,786,780,6,61.41%
1709,1230,635,626,9,51.63%
1710,1207,746,733,13,61.81%
1711,1052,658,649,9,62.55%
1712,1159,685,671,14,59.10%
1713,1362,781,776,5,57.34%
1714,1242,708,704,4,57.00%
1715,954,616,606,10,64.57%
1716,1002,551,545,6,54.99%
1717,1278,757,748,9,59.23%
1718,1238,686,681,5,55.41%
1719,1430,781,771,10,54.62%
1720,1439,747,740,7,51.91%
1721,1011,542,537,5,53.61%
1722,957,518,512,6,54.13%
1723,887,410,404,6,46.22%
1724,1292,676,672,4,52.32%
1725,1210,711,705,6,58.76%
1726,1519,786,775,11,51.74%
1727,1334,709,704,5,53.15%
1728,1733,979,968,11,56.49%
1729,1345,850,835,15,63.20%
1730,1229,692,684,8,56.31%
1731,1216,689,682,7,56.66%
1732,1260,807,794,13,64.05%
1733,1252,796,787,9,63.58%
1734,987,528,520,8,53.50%
1735,1014,538,526,12,53.06%
1736,1356,825,815,10,60.84%
1737,1453,851,842,9,58.57%
1738,1045,613,608,5,58.66%
1739,1333,711,705,6,53.34%
1740,1209,668,660,8,55.25%
1741,1219,786,778,8,64.48%
1742,1159,715,711,4,61.69%
1743,1348,781,773,8,57.94%
1744,1212,705,702,3,58.17%
1745,1239,695,687,8,56.09%
1746,1133,689,679,10,60.81%
1747,945,572,566,6,60.53%
1748,1137,703,695,8,61.83%
1749,949,550,536,14,57.96%
1750,910,514,507,7,56.48%
1751,1019,580,576,4,56.92%
1752,1135,704,691,13,62.03%
1753,927,552,543,9,59.55%
1754,1248,695,688,7,55.69%
1755,1263,805,789,16,63.74%
1756,1237,762,748,14,61.60%
1757,1019,595,586,9,58.39%
1758,1164,684,666,18,58.76%
1759,966,604,599,5,62.53%
1760,1039,637,626,11,61.31%
1761,1123,636,628,8,56.63%
1762,989,542,534,8,54.80%
1763,861,496,490,6,57.61%
1764,852,515,506,9,60.45%
1765,1027,720,705,15,70.11%
1766,1007,666,659,7,66.14%
1767,1216,710,704,6,58.39%
1768,1061,651,643,8,61.36%
1769,968,558,555,3,57.64%
1770,1233,733,721,12,59.45%
1771,1524,903,894,9,59.25%
1772,1565,941,924,17,60.13%
1773,1221,808,800,8,66.18%
1774,1195,856,841,15,71.63%
1775,1101,698,686,12,63.40%
1776,1285,730,724,6,56.81%
1777,1152,731,717,14,63.45%
1778,1210,808,799,9,66.78%
1779,1278,793,783,10,62.05%
1780,1140,700,692,8,61.40%
1781,1067,649,638,11,60.82%
1782,1157,710,698,12,61.37%
1783,1316,716,711,5,54.41%
1784,1385,767,757,10,55.38%
1785,1469,789,782,7,53.71%
1786,941,520,517,3,55.26%
1787,870,533,525,8,61.26%
1788,1123,705,699,6,62.78%
