Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,34321,21952,21603,349,63.96%
0428,934,635,625,10,67.99%
0429,1070,668,662,6,62.43%
0430,1019,667,657,10,65.46%
0431,1135,778,759,19,68.55%
0432,1019,717,706,11,70.36%
0433,1308,849,834,15,64.91%
0434,1249,900,892,8,72.06%
0435,1142,888,874,14,77.76%
0436,984,602,591,11,61.18%
0437,1208,745,738,7,61.67%
0438,645,460,454,6,71.32%
0439,678,481,466,15,70.94%
0440,1235,735,727,8,59.51%
0441,1183,729,723,6,61.62%
0442,700,458,450,8,65.43%
0443,884,625,606,19,70.70%
0444,581,432,425,7,74.35%
0445,799,572,561,11,71.59%
0446,336,255,252,3,75.89%
0447,1737,809,801,8,46.57%
0448,1063,552,548,4,51.93%
0449,1006,503,500,3,50.00%
0450,1049,698,686,12,66.54%
0451,1398,729,719,10,52.15%
0452,1166,724,701,23,62.09%
0453,1174,710,698,12,60.48%
0454,1298,749,738,11,57.70%
0455,632,486,471,15,76.90%
0456,1182,757,746,11,64.04%
0457,1192,753,743,10,63.17%
0458,1132,703,694,9,62.10%
0459,822,581,571,10,70.68%
0460,599,408,399,9,68.11%
0461,762,594,586,8,77.95%
