Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,25362,14520,14182,338,57.25%
0137,907,651,638,13,71.78%
0138,820,491,471,20,59.88%
0139,870,575,564,11,66.09%
0140,791,497,484,13,62.83%
0141,1205,588,573,15,48.80%
0142,1284,657,646,11,51.17%
0143,1198,686,677,9,57.26%
0144,918,493,483,10,53.70%
0145,789,435,424,11,55.13%
0146,798,519,506,13,65.04%
0147,1198,796,777,19,66.44%
0148,1029,717,701,16,69.68%
0149,958,661,639,22,69.00%
0150,1064,561,543,18,52.73%
0151,1060,665,642,23,62.74%
0152,1254,668,652,16,53.27%
0153,1589,804,790,14,50.60%
0154,1029,613,602,11,59.57%
0155,892,553,535,18,62.00%
0156,1096,758,739,19,69.16%
0157,1021,527,516,11,51.62%
0158,1110,560,553,7,50.45%
0159,1129,470,462,8,41.63%
0160,1353,575,565,10,42.50%
