Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,23220,13913,13616,297,59.92%
0969,1123,699,685,14,62.24%
0970,982,522,510,12,53.16%
0971,1461,833,814,19,57.02%
0972,1120,615,601,14,54.91%
0973,1037,591,579,12,56.99%
0974,1323,706,692,14,53.36%
0975,1426,746,721,25,52.31%
0976,1432,967,945,22,67.53%
0977,1348,812,789,23,60.24%
0978,1277,726,713,13,56.85%
0979,1188,660,646,14,55.56%
0980,938,557,546,11,59.38%
0981,1023,682,670,12,66.67%
0982,1053,674,657,17,64.01%
0983,1554,936,918,18,60.23%
0984,983,603,592,11,61.34%
0985,733,431,422,9,58.80%
0986,840,569,560,9,67.74%
0987,1153,798,784,14,69.21%
0988,1226,786,772,14,64.11%
