Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,30037,19397,18987,410,64.58%
0064,1057,712,694,18,67.36%
0065,1072,697,675,22,65.02%
0066,1027,635,628,7,61.83%
0067,1150,743,723,20,64.61%
0068,838,457,453,4,54.53%
0069,667,343,339,4,51.42%
0070,1043,716,694,22,68.65%
0071,672,431,421,10,64.14%
0072,1022,770,750,20,75.34%
0073,342,246,238,8,71.93%
0074,807,544,536,8,67.41%
0075,474,277,268,9,58.44%
0076,954,562,547,15,58.91%
0077,723,430,421,9,59.47%
0078,897,607,599,8,67.67%
0079,1134,711,703,8,62.70%
0080,168,113,103,10,67.26%
0081,969,553,544,9,57.07%
0082,906,586,578,8,64.68%
0083,959,627,612,15,65.38%
0084,825,521,515,6,63.15%
0085,626,409,402,7,65.34%
0086,893,542,536,6,60.69%
0087,1026,634,618,16,61.79%
0088,1048,660,647,13,62.98%
0089,999,627,612,15,62.76%
0090,1065,682,672,10,64.04%
0091,265,219,215,4,82.64%
0092,592,386,370,16,65.20%
0093,1312,830,819,11,63.26%
0094,721,545,530,15,75.59%
0095,1206,786,768,18,65.17%
0096,767,515,500,15,67.14%
0097,1227,852,832,20,69.44%
0098,584,429,425,4,73.46%
