Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,78670,44634,44070,564,56.74%
0739,1431,858,848,10,59.96%
0740,1593,887,878,9,55.68%
0741,1490,821,811,10,55.10%
0742,1371,701,694,7,51.13%
0743,1142,613,598,15,53.68%
0744,1276,682,669,13,53.45%
0745,1309,622,618,4,47.52%
0746,1458,713,706,7,48.90%
0747,1489,750,742,8,50.37%
0748,1298,804,792,12,61.94%
0749,1255,806,794,12,64.22%
0750,1137,736,718,18,64.73%
0751,1118,711,695,16,63.60%
0752,1351,808,785,23,59.81%
0753,826,497,491,6,60.17%
0754,1326,795,778,17,59.95%
0755,1332,532,526,6,39.94%
0756,1347,821,812,9,60.95%
0757,1296,709,702,7,54.71%
0758,1504,940,930,10,62.50%
0759,1558,858,851,7,55.07%
0760,1460,925,904,21,63.36%
0761,1592,936,922,14,58.79%
0762,1426,840,837,3,58.91%
0763,1463,878,863,15,60.01%
0764,987,687,668,19,69.60%
0765,1146,776,761,15,67.71%
0766,1476,831,823,8,56.30%
0767,1491,809,804,5,54.26%
0768,1441,712,705,7,49.41%
0769,1373,731,721,10,53.24%
0770,1412,776,772,4,54.96%
0771,1534,762,751,11,49.67%
0772,1381,710,703,7,51.41%
0773,1431,759,755,4,53.04%
0774,1429,754,748,6,52.76%
0775,1377,727,719,8,52.80%
0776,1452,740,739,1,50.96%
0777,2228,1064,1056,8,47.76%
0778,1473,776,766,10,52.68%
0779,1336,738,720,18,55.24%
0780,1231,761,751,10,61.82%
0781,1226,787,774,13,64.19%
0782,1548,1071,1057,14,69.19%
0783,1367,719,709,10,52.60%
0784,1261,701,689,12,55.59%
0785,1257,677,672,5,53.86%
0786,1258,709,702,7,56.36%
0787,1258,769,757,12,61.13%
0788,1251,688,685,3,55.00%
0789,1252,715,711,4,57.11%
0790,1368,836,829,7,61.11%
0791,1331,769,762,7,57.78%
0792,1311,782,776,6,59.65%
0793,1295,713,708,5,55.06%
0794,1463,855,841,14,58.44%
0795,1069,738,730,8,69.04%
0796,1109,749,742,7,67.54%
