Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,276533,156334,154505,1829,56.53%
0989,1181,532,532,0,45.05%
0990,1265,661,658,3,52.25%
0991,1229,668,661,7,54.35%
0992,1368,718,710,8,52.49%
0993,1463,784,779,5,53.59%
0994,1361,763,754,9,56.06%
0995,1403,717,714,3,51.10%
0996,1490,719,717,2,48.26%
0997,1241,687,679,8,55.36%
0998,1242,697,686,11,56.12%
0999,1215,649,641,8,53.42%
1000,1286,644,638,6,50.08%
1001,1231,682,677,5,55.40%
1002,1261,717,709,8,56.86%
1003,1319,671,665,6,50.87%
1004,1294,657,650,7,50.77%
1005,1336,698,692,6,52.25%
1006,1393,695,690,5,49.89%
1007,1374,667,661,6,48.54%
1008,979,560,557,3,57.20%
1009,1065,602,596,6,56.53%
1010,1275,681,672,9,53.41%
1011,1429,761,752,9,53.25%
1012,1398,677,668,9,48.43%
1013,1450,748,741,7,51.59%
1014,1419,732,725,7,51.59%
1015,1425,756,747,9,53.05%
1016,1422,720,715,5,50.63%
1017,1448,733,729,4,50.62%
1018,1472,732,726,6,49.73%
1019,1465,730,728,2,49.83%
1020,1426,806,799,7,56.52%
1021,1461,769,764,5,52.64%
1022,1404,769,758,11,54.77%
1023,1408,727,719,8,51.63%
1024,1485,808,801,7,54.41%
1025,1339,724,715,9,54.07%
1026,1388,766,760,6,55.19%
1027,1296,729,723,6,56.25%
1028,1347,728,718,10,54.05%
1029,1359,737,730,7,54.23%
1030,1388,706,702,4,50.86%
1031,1334,730,726,4,54.72%
1032,1364,755,742,13,55.35%
1033,1329,734,729,5,55.23%
1034,1333,678,673,5,50.86%
1035,1371,690,684,6,50.33%
1036,965,554,545,9,57.41%
1037,871,569,566,3,65.33%
1038,809,509,504,5,62.92%
1039,669,387,382,5,57.85%
1040,1290,770,760,10,59.69%
1041,1126,659,654,5,58.53%
1042,1265,726,718,8,57.39%
1043,1198,669,667,2,55.84%
1044,1399,840,836,4,60.04%
1045,1287,728,718,10,56.57%
1046,1373,800,791,9,58.27%
1047,1434,817,811,6,56.97%
