Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,41422,24214,23912,302,58.46%
1231,746,404,404,0,54.16%
1232,906,530,526,4,58.50%
1233,954,602,596,6,63.10%
1234,1339,759,750,9,56.68%
1235,1345,747,738,9,55.54%
1236,940,600,595,5,63.83%
1237,1202,734,721,13,61.06%
1238,598,389,382,7,65.05%
1239,950,491,487,4,51.68%
1240,820,498,491,7,60.73%
1241,865,457,454,3,52.83%
1242,869,480,476,4,55.24%
1243,683,486,482,4,71.16%
1244,1314,746,731,15,56.77%
1245,689,376,372,4,54.57%
1246,1018,645,634,11,63.36%
1247,996,570,563,7,57.23%
1248,1317,746,739,7,56.64%
1249,1364,791,779,12,57.99%
1250,1100,683,677,6,62.09%
1251,976,626,619,7,64.14%
1252,769,491,488,3,63.85%
1253,727,429,425,4,59.01%
1254,1007,561,556,5,55.71%
1255,1051,605,596,9,57.56%
1256,1030,626,621,5,60.78%
1257,1270,804,790,14,63.31%
1258,984,559,553,6,56.81%
1259,764,434,432,2,56.81%
1260,923,513,508,5,55.58%
1261,885,564,557,7,63.73%
1262,933,581,572,9,62.27%
1263,1276,526,521,5,41.22%
1264,1312,726,719,7,55.34%
1265,639,381,373,8,59.62%
1266,971,573,563,10,59.01%
1267,927,497,489,8,53.61%
1268,871,447,441,6,51.32%
1269,859,467,464,3,54.37%
1270,821,466,458,8,56.76%
1271,684,450,440,10,65.79%
1272,635,433,425,8,68.19%
1273,1093,721,705,16,65.97%
