Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,25168,15384,15105,279,61.13%
0355,1115,654,644,10,58.65%
0356,1095,690,674,16,63.01%
0357,914,602,591,11,65.86%
0358,981,656,645,11,66.87%
0359,1058,676,661,15,63.89%
0360,986,653,636,17,66.23%
0361,209,111,104,7,53.11%
0362,883,690,678,12,78.14%
0363,599,395,389,6,65.94%
0364,1156,714,701,13,61.76%
0365,1027,563,556,7,54.82%
0366,1330,766,753,13,57.59%
0367,438,336,329,7,76.71%
0368,1154,683,676,7,59.19%
0369,1094,643,630,13,58.78%
0370,1080,690,676,14,63.89%
0371,1341,708,694,14,52.80%
0372,1321,816,807,9,61.77%
0373,928,559,553,6,60.24%
0374,1047,617,611,6,58.93%
0375,1246,654,644,10,52.49%
0376,725,479,473,6,66.07%
0377,1091,633,617,16,58.02%
0378,1367,817,801,16,59.77%
0379,983,579,562,17,58.90%
