Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19934,12546,12374,172,62.94%
0945,1200,819,810,9,68.25%
0946,318,247,245,2,77.67%
0947,592,423,416,7,71.45%
0948,1210,720,714,6,59.50%
0949,1216,683,669,14,56.17%
0950,785,521,515,6,66.37%
0951,1033,697,685,12,67.47%
0952,767,528,519,9,68.84%
0953,520,361,359,2,69.42%
0954,1391,731,718,13,52.55%
0955,695,403,398,5,57.99%
0956,744,436,429,7,58.60%
0957,733,428,428,0,58.39%
0958,714,560,556,4,78.43%
0959,884,500,495,5,56.56%
0960,1020,655,642,13,64.22%
0961,969,577,569,8,59.55%
0962,726,508,493,15,69.97%
0963,897,556,548,8,61.98%
0964,922,485,479,6,52.60%
0965,1046,686,681,5,65.58%
0966,504,364,363,1,72.22%
0967,528,358,346,12,67.80%
0968,520,300,297,3,57.69%
