Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,30001,19413,19078,335,64.71%
0398,1022,707,696,11,69.18%
0399,1011,689,681,8,68.15%
0400,983,640,634,6,65.11%
0401,1091,650,632,18,59.58%
0402,796,537,531,6,67.46%
0403,598,401,394,7,67.06%
0404,728,519,512,7,71.29%
0405,1425,996,972,24,69.89%
0406,1096,837,818,19,76.37%
0407,944,569,560,9,60.28%
0408,1326,881,866,15,66.44%
0409,1243,786,773,13,63.23%
0410,1035,652,639,13,63.00%
0411,1072,650,637,13,60.63%
0412,666,417,413,4,62.61%
0413,1259,849,832,17,67.43%
0414,894,595,585,10,66.55%
0415,753,456,450,6,60.56%
0416,990,688,678,10,69.49%
0417,988,619,600,19,62.65%
0418,1169,740,722,18,63.30%
0419,756,486,479,7,64.29%
0420,835,517,507,10,61.92%
0421,772,486,476,10,62.95%
0422,1505,982,965,17,65.25%
0423,1090,750,745,5,68.81%
0424,1072,616,605,11,57.46%
0425,1180,755,741,14,63.98%
0426,707,407,403,4,57.57%
0427,995,536,532,4,53.87%
