Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,158654,85501,84584,917,53.89%
0590,1605,332,329,3,20.69%
0591,918,576,560,16,62.75%
0592,924,544,532,12,58.87%
0593,497,371,364,7,74.65%
0594,575,379,373,6,65.91%
0595,477,286,280,6,59.96%
0596,762,500,492,8,65.62%
0597,797,536,527,9,67.25%
0598,683,404,396,8,59.15%
0599,1428,881,862,19,61.69%
0600,1683,955,943,12,56.74%
0601,1456,870,855,15,59.75%
0602,336,262,254,8,77.98%
0603,523,244,242,2,46.65%
0604,1623,889,883,6,54.78%
0605,1135,666,660,6,58.68%
0606,1167,706,692,14,60.50%
0607,1186,781,774,7,65.85%
0608,1192,734,725,9,61.58%
0609,710,390,387,3,54.93%
0610,878,614,597,17,69.93%
0611,685,422,415,7,61.61%
0612,301,220,217,3,73.09%
0613,492,341,333,8,69.31%
0614,458,275,271,4,60.04%
0615,642,405,399,6,63.08%
0616,373,263,257,6,70.51%
0617,535,323,321,2,60.37%
0618,796,481,477,4,60.43%
0619,1205,762,741,21,63.24%
0620,878,611,606,5,69.59%
0621,1359,786,780,6,57.84%
0622,1176,664,657,7,56.46%
0623,760,449,446,3,59.08%
0624,912,557,550,7,61.07%
0625,1154,670,660,10,58.06%
0626,1545,968,953,15,62.65%
0627,1509,788,780,8,52.22%
0628,1524,748,740,8,49.08%
0629,1364,848,839,9,62.17%
0630,1166,650,646,4,55.75%
0631,1355,844,836,8,62.29%
0632,1454,799,788,11,54.95%
0633,1414,774,769,5,54.74%
0634,1434,800,791,9,55.79%
0635,1386,767,758,9,55.34%
0636,1508,767,757,10,50.86%
0637,1434,759,756,3,52.93%
0638,1509,746,741,5,49.44%
0639,1500,855,839,16,57.00%
0640,1473,741,739,2,50.31%
0641,1581,830,817,13,52.50%
0642,1477,895,879,16,60.60%
0643,1519,875,864,11,57.60%
0644,1491,878,867,11,58.89%
0645,1439,789,783,6,54.83%
0646,1598,762,755,7,47.68%
0647,1487,768,763,5,51.65%
0648,1537,791,781,10,51.46%
0649,1567,785,772,13,50.10%
0650,1490,823,816,7,55.23%
0651,1552,814,807,7,52.45%
0652,1526,763,757,6,50.00%
0653,1492,716,711,5,47.99%
0654,1554,787,779,8,50.64%
0655,1495,750,744,6,50.17%
0656,1447,733,726,7,50.66%
0657,1473,753,749,4,51.12%
0658,1581,893,884,9,56.48%
0659,1408,844,840,4,59.94%
0660,1540,828,823,5,53.77%
0661,1422,843,832,11,59.28%
0662,1514,827,821,6,54.62%
0663,1380,689,679,10,49.93%
0664,1448,783,773,10,54.07%
0665,1370,749,744,5,54.67%
0666,1505,797,785,12,52.96%
0667,1410,784,779,5,55.60%
0668,1429,727,714,13,50.87%
0669,1455,762,759,3,52.37%
0670,1481,804,795,9,54.29%
0671,1436,750,742,8,52.23%
0672,1522,843,837,6,55.39%
0673,1400,751,744,7,53.64%
0674,1408,676,674,2,48.01%
0675,1587,802,795,7,50.54%
0676,1538,763,754,9,49.61%
0677,1446,698,691,7,48.27%
0678,1473,763,756,7,51.80%
0679,1478,788,780,8,53.32%
0680,1369,736,733,3,53.76%
0681,1602,826,811,15,51.56%
0682,1716,865,851,14,50.41%
0683,1581,828,820,8,52.37%
0684,1660,814,807,7,49.04%
0685,1682,835,832,3,49.64%
0686,1478,785,775,10,53.11%
0687,1534,808,805,3,52.67%
0688,1443,748,742,6,51.84%
0689,1556,774,771,3,49.74%
0690,1553,746,742,4,48.04%
0691,1458,720,712,8,49.38%
0692,1562,818,809,9,52.37%
0693,1595,844,836,8,52.92%
0694,1549,767,767,0,49.52%
0695,1556,780,775,5,50.13%
0696,1430,728,721,7,50.91%
0697,1623,834,824,10,51.39%
0698,1508,800,791,9,53.05%
0699,1579,746,743,3,47.25%
0700,1469,704,698,6,47.92%
0701,1653,846,842,4,51.18%
0702,1703,826,819,7,48.50%
0703,1760,870,862,8,49.43%
0704,1620,841,836,5,51.91%
0705,1547,800,792,8,51.71%
0706,1380,673,667,6,48.77%
0707,1562,841,835,6,53.84%
0708,1685,872,862,10,51.75%
0709,1429,747,744,3,52.27%
