Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,235986,133552,132150,1402,56.59%
0984,1181,746,745,1,63.17%
0985,1161,638,634,4,54.95%
0986,1109,594,586,8,53.56%
0987,1110,631,626,5,56.85%
0988,1084,640,635,5,59.04%
0989,1044,612,606,6,58.62%
0990,1558,909,900,9,58.34%
0991,1322,840,831,9,63.54%
0992,1370,760,754,6,55.47%
0993,1251,719,708,11,57.47%
0994,1052,670,663,7,63.69%
0995,1039,604,592,12,58.13%
0996,1304,704,704,0,53.99%
0997,967,535,530,5,55.33%
0998,1188,714,707,7,60.10%
0999,1119,665,658,7,59.43%
1000,1106,660,657,3,59.67%
1001,1161,617,604,13,53.14%
1002,1941,363,362,1,18.70%
1003,1109,675,671,4,60.87%
1004,1176,741,732,9,63.01%
1005,1215,706,696,10,58.11%
1006,1265,749,744,5,59.21%
1007,1085,609,602,7,56.13%
1008,1057,590,587,3,55.82%
1009,1314,778,775,3,59.21%
1010,1228,677,670,7,55.13%
1011,1572,810,808,2,51.53%
1012,1541,909,893,16,58.99%
1013,1395,819,812,7,58.71%
1014,988,672,660,12,68.02%
1015,1306,735,733,2,56.28%
1016,1148,596,590,6,51.92%
1017,1152,660,653,7,57.29%
1018,1201,729,712,17,60.70%
1019,1346,749,740,9,55.65%
1020,1261,727,718,9,57.65%
1021,1313,679,670,9,51.71%
1022,1203,700,688,12,58.19%
1023,1203,693,685,8,57.61%
1024,1131,665,658,7,58.80%
1025,931,515,511,4,55.32%
1026,1468,837,831,6,57.02%
1027,1299,725,718,7,55.81%
1028,1196,757,751,6,63.29%
1029,1354,789,781,8,58.27%
1030,1191,674,667,7,56.59%
1031,1210,679,672,7,56.12%
1032,998,547,539,8,54.81%
1033,1053,587,577,10,55.75%
1034,1061,599,592,7,56.46%
1035,828,490,485,5,59.18%
1036,1125,690,679,11,61.33%
1037,882,498,497,1,56.46%
1038,1161,728,718,10,62.70%
1039,1045,652,647,5,62.39%
1040,1505,985,971,14,65.45%
1041,1118,604,600,4,54.03%
1042,1094,587,585,2,53.66%
1043,1147,625,619,6,54.49%
1044,1183,632,628,4,53.42%
1045,1039,543,535,8,52.26%
1046,1183,713,706,7,60.27%
1047,1058,589,583,6,55.67%
1048,1048,591,581,10,56.39%
1049,1118,607,605,2,54.29%
1050,1134,686,679,7,60.49%
1051,1208,757,745,12,62.67%
1052,1320,761,754,7,57.65%
1053,1359,876,869,7,64.46%
1054,1181,693,689,4,58.68%
1055,1144,646,639,7,56.47%
1056,1284,730,720,10,56.85%
1057,1273,691,684,7,54.28%
1058,1112,580,576,4,52.16%
1059,999,551,544,7,55.16%
1060,1156,647,644,3,55.97%
1061,968,547,537,10,56.51%
1062,1111,596,595,1,53.65%
1063,1207,636,633,3,52.69%
1064,1100,566,560,6,51.45%
1065,1223,686,677,9,56.09%
1066,1064,620,615,5,58.27%
1067,917,432,429,3,47.11%
1068,1060,587,582,5,55.38%
1069,1110,695,689,6,62.61%
1070,1131,584,576,8,51.64%
1071,1114,690,686,4,61.94%
1072,1285,664,657,7,51.67%
1073,1221,694,684,10,56.84%
1074,1332,667,658,9,50.08%
1075,1148,610,605,5,53.14%
1076,930,516,515,1,55.48%
1077,1404,743,735,8,52.92%
1078,1422,806,794,12,56.68%
1079,1216,695,690,5,57.15%
1080,1248,733,725,8,58.73%
1081,1194,740,738,2,61.98%
1082,970,548,543,5,56.49%
1083,904,613,603,10,67.81%
1084,1513,910,903,7,60.15%
1085,1151,671,667,4,58.30%
1086,1244,742,735,7,59.65%
1087,1225,734,727,7,59.92%
1088,1284,711,705,6,55.37%
1089,961,534,529,5,55.57%
1090,1200,766,758,8,63.83%
1091,1294,735,728,7,56.80%
1092,1151,689,687,2,59.86%
1093,1107,605,602,3,54.65%
1094,1248,788,782,6,63.14%
1095,1247,711,705,6,57.02%
1096,1630,968,956,12,59.39%
1097,1151,693,685,8,60.21%
1098,1464,891,880,11,60.86%
1099,1644,827,817,10,50.30%
1100,1319,779,768,11,59.06%
1101,1177,652,645,7,55.40%
1102,1518,771,766,5,50.79%
1103,1370,740,736,4,54.01%
1104,1307,790,773,17,60.44%
1105,1368,823,815,8,60.16%
1106,1041,639,630,9,61.38%
1107,1148,705,694,11,61.41%
1108,816,522,515,7,63.97%
1109,1071,611,603,8,57.05%
1110,909,490,481,9,53.91%
1111,1235,786,776,10,63.64%
1112,1263,665,655,10,52.65%
1113,1127,711,707,4,63.09%
1114,1042,571,564,7,54.80%
1115,1308,783,771,12,59.86%
1116,1149,788,771,17,68.58%
1117,1162,682,678,4,58.69%
1118,1045,656,650,6,62.78%
1119,1121,708,700,8,63.16%
1120,1099,654,648,6,59.51%
1121,1324,759,746,13,57.33%
1122,1271,718,711,7,56.49%
1123,1434,822,819,3,57.32%
1124,1291,644,635,9,49.88%
1125,1131,642,634,8,56.76%
1126,1250,596,593,3,47.68%
1127,1282,705,699,6,54.99%
1128,1266,621,609,12,49.05%
1129,1226,772,764,8,62.97%
1130,1139,640,634,6,56.19%
1131,1233,734,726,8,59.53%
1132,1313,803,791,12,61.16%
1133,1275,762,754,8,59.76%
1134,1278,663,658,5,51.88%
1135,1238,721,715,6,58.24%
1136,1243,718,709,9,57.76%
1137,1264,691,685,6,54.67%
1138,1278,763,757,6,59.70%
1139,1320,726,718,8,55.00%
1140,1198,667,658,9,55.68%
1141,1445,777,770,7,53.77%
1142,1197,714,709,5,59.65%
1143,1141,694,683,11,60.82%
1144,1237,758,751,7,61.28%
1145,1097,564,561,3,51.41%
1146,1212,687,680,7,56.68%
1147,1147,652,645,7,56.84%
1148,1277,769,762,7,60.22%
1149,1314,794,786,8,60.43%
1150,1098,612,604,8,55.74%
1151,1202,695,676,19,57.82%
1152,1512,866,858,8,57.28%
1153,1022,580,572,8,56.75%
1154,952,528,526,2,55.46%
1155,972,571,565,6,58.74%
1156,1532,809,801,8,52.81%
1157,1151,696,688,8,60.47%
1158,1422,777,773,4,54.64%
1159,1015,464,457,7,45.71%
1160,1400,705,697,8,50.36%
1161,1677,896,885,11,53.43%
1162,1710,959,953,6,56.08%
1163,1246,596,589,7,47.83%
1164,1438,756,746,10,52.57%
1165,829,470,467,3,56.69%
1166,1430,860,851,9,60.14%
1167,1425,748,740,8,52.49%
1168,1700,893,879,14,52.53%
1169,2023,849,838,11,41.97%
1170,1804,1082,1074,8,59.98%
1171,1515,815,803,12,53.80%
1172,1467,821,812,9,55.96%
1173,1471,800,791,9,54.38%
1174,1720,934,924,10,54.30%
1175,1803,875,861,14,48.53%
