Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,46385,29656,29202,454,63.93%
0321,1514,982,966,16,64.86%
0322,1305,826,805,21,63.30%
0323,1396,910,892,18,65.19%
0324,839,639,623,16,76.16%
0325,1180,819,805,14,69.41%
0326,1211,809,801,8,66.80%
0327,962,657,649,8,68.30%
0328,1445,902,895,7,62.42%
0329,1167,783,768,15,67.10%
0330,1153,697,690,7,60.45%
0331,1322,902,894,8,68.23%
0332,1150,800,788,12,69.57%
0333,928,549,545,4,59.16%
0334,814,486,483,3,59.71%
0335,1168,729,715,14,62.41%
0336,820,512,503,9,62.44%
0337,1287,849,841,8,65.97%
0338,787,509,503,6,64.68%
0339,1657,1180,1161,19,71.21%
0340,1658,1250,1228,22,75.39%
0341,907,705,687,18,77.73%
0342,1295,923,901,22,71.27%
0343,1362,807,793,14,59.25%
0344,1203,661,655,6,54.95%
0345,1298,754,745,9,58.09%
0346,1075,678,674,4,63.07%
0347,1176,671,657,14,57.06%
0348,1109,651,644,7,58.70%
0349,1427,895,877,18,62.72%
0350,1262,789,774,15,62.52%
0351,1211,762,756,6,62.92%
0352,1131,674,666,8,59.59%
0353,1423,871,852,19,61.21%
0354,1120,702,696,6,62.68%
0355,1103,699,687,12,63.37%
0356,1191,712,705,7,59.78%
0357,1204,664,651,13,55.15%
0358,1136,701,691,10,61.71%
0359,989,547,536,11,55.31%
