Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,60242,39260,38682,578,65.17%
0001,1257,837,830,7,66.59%
0002,925,590,577,13,63.78%
0003,650,435,433,2,66.92%
0004,795,533,524,9,67.04%
0005,708,423,416,7,59.75%
0006,986,620,615,5,62.88%
0007,950,639,625,14,67.26%
0008,1005,639,632,7,63.58%
0009,972,637,631,6,65.53%
0010,1020,614,607,7,60.20%
0011,1189,804,797,7,67.62%
0012,998,619,616,3,62.02%
0013,966,676,664,12,69.98%
0014,1002,689,680,9,68.76%
0015,1328,798,785,13,60.09%
0016,1057,600,591,9,56.76%
0017,1201,691,687,4,57.54%
0018,949,574,566,8,60.48%
0019,797,532,523,9,66.75%
0020,852,590,582,8,69.25%
0021,1556,1075,1057,18,69.09%
0022,1559,1079,1067,12,69.21%
0023,1127,873,858,15,77.46%
0024,1018,625,615,10,61.39%
0025,920,608,602,6,66.09%
0026,792,526,517,9,66.41%
0027,950,586,577,9,61.68%
0028,1043,676,667,9,64.81%
0029,1099,695,683,12,63.24%
0030,865,583,577,6,67.40%
0031,1037,569,563,6,54.87%
0032,1213,811,803,8,66.86%
0033,753,576,567,9,76.49%
0034,863,610,604,6,70.68%
0035,806,553,545,8,68.61%
0036,1300,800,791,9,61.54%
0037,1250,838,825,13,67.04%
0038,1131,796,780,16,70.38%
0039,920,596,585,11,64.78%
0040,1052,706,696,10,67.11%
0041,1164,826,812,14,70.96%
0042,1321,852,834,18,64.50%
0043,1094,666,653,13,60.88%
0044,1332,824,814,10,61.86%
0045,1077,691,677,14,64.16%
0046,1324,875,854,21,66.09%
0047,1208,777,767,10,64.32%
0048,1418,833,827,6,58.74%
0049,1371,837,831,6,61.05%
0050,1295,775,765,10,59.85%
0051,630,401,400,1,63.65%
0052,793,505,495,10,63.68%
0053,849,523,513,10,61.60%
0054,739,531,517,14,71.85%
0055,1295,893,876,17,68.96%
0056,1057,704,688,16,66.60%
0057,1414,1026,999,27,72.56%
