Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,169873,99000,97759,1241,58.28%
1621,1885,966,958,8,51.25%
1622,1515,777,770,7,51.29%
1623,1590,704,694,10,44.28%
1624,1250,741,736,5,59.28%
1625,1387,772,752,20,55.66%
1626,1140,622,611,11,54.56%
1627,1535,842,832,10,54.85%
1628,1389,799,785,14,57.52%
1629,1304,783,774,9,60.05%
1630,1378,809,799,10,58.71%
1631,1207,759,750,9,62.88%
1632,1083,638,632,6,58.91%
1633,1786,1075,1060,15,60.19%
1634,2688,1159,1139,20,43.12%
1635,1735,975,963,12,56.20%
1636,1311,779,768,11,59.42%
1637,1092,695,692,3,63.64%
1638,1652,1066,1047,19,64.53%
1639,1373,765,754,11,55.72%
1640,1353,730,720,10,53.95%
1641,1480,854,845,9,57.70%
1642,1286,758,748,10,58.94%
1643,1129,703,697,6,62.27%
1644,1278,728,719,9,56.96%
1645,1069,643,636,7,60.15%
1646,1766,1001,994,7,56.68%
1647,1183,692,685,7,58.50%
1648,1534,846,834,12,55.15%
1649,1569,853,841,12,54.37%
1650,1080,700,682,18,64.81%
1651,1390,753,742,11,54.17%
1652,1441,816,801,15,56.63%
1653,1325,770,760,10,58.11%
1654,1346,743,725,18,55.20%
1655,1346,756,749,7,56.17%
1656,1252,696,692,4,55.59%
1657,1314,733,727,6,55.78%
1658,1252,684,676,8,54.63%
1659,1433,786,774,12,54.85%
1660,1238,744,734,10,60.10%
1661,1629,932,920,12,57.21%
1662,1644,934,926,8,56.81%
1663,1119,660,653,7,58.98%
1664,1431,871,857,14,60.87%
1665,1401,798,792,6,56.96%
1666,919,587,572,15,63.87%
1667,1403,808,797,11,57.59%
1668,1274,760,751,9,59.65%
1669,1220,731,723,8,59.92%
1670,1447,817,797,20,56.46%
1671,1336,825,815,10,61.75%
1672,1368,820,810,10,59.94%
1673,1582,851,843,8,53.79%
1674,1366,744,734,10,54.47%
1675,1435,829,827,2,57.77%
1676,1279,706,698,8,55.20%
1677,1429,972,959,13,68.02%
1678,1637,1036,1023,13,63.29%
1679,1754,1015,1005,10,57.87%
1680,1446,769,760,9,53.18%
1681,1334,772,761,11,57.87%
1682,1360,794,781,13,58.38%
1683,1243,713,706,7,57.36%
1684,1236,697,689,8,56.39%
1685,1416,813,806,7,57.42%
1686,1336,756,746,10,56.59%
1687,1317,766,754,12,58.16%
1688,1310,809,802,7,61.76%
1689,1259,770,766,4,61.16%
1690,1433,804,798,6,56.11%
1691,1508,882,864,18,58.49%
1692,1184,727,719,8,61.40%
1693,1342,864,844,20,64.38%
1694,1611,991,980,11,61.51%
1695,1528,933,920,13,61.06%
1696,1542,1013,1001,12,65.69%
1697,1587,1001,992,9,63.07%
1698,1580,947,940,7,59.94%
1699,1633,950,946,4,58.18%
1700,1394,880,866,14,63.13%
1701,1231,747,737,10,60.68%
1702,1574,905,891,14,57.50%
1703,1395,818,805,13,58.64%
1704,1302,777,768,9,59.68%
1705,1322,719,704,15,54.39%
1706,1291,780,766,14,60.42%
1707,1469,847,834,13,57.66%
1708,1328,837,828,9,63.03%
1709,1313,815,803,12,62.07%
1710,1294,805,798,7,62.21%
1711,1435,849,837,12,59.16%
1712,1497,885,878,7,59.12%
1713,1645,933,922,11,56.72%
1714,1566,860,847,13,54.92%
1715,1371,866,855,11,63.17%
1716,1546,891,877,14,57.63%
1717,1637,933,921,12,56.99%
1718,1407,808,800,8,57.43%
1719,1423,855,847,8,60.08%
1720,1220,654,647,7,53.61%
1721,1365,731,721,10,53.55%
1722,1248,740,735,5,59.29%
1723,1546,959,945,14,62.03%
1724,1508,910,899,11,60.34%
1725,1466,925,920,5,63.10%
1726,1629,1001,994,7,61.45%
1727,1379,897,890,7,65.05%
1728,1348,811,797,14,60.16%
1729,1578,1075,1062,13,68.12%
1730,1720,1052,1040,12,61.16%
1731,1548,977,965,12,63.11%
1732,1454,837,825,12,57.57%
1733,1378,827,818,9,60.01%
1734,1411,828,820,8,58.68%
1735,1470,853,843,10,58.03%
1736,1349,780,776,4,57.82%
1737,1434,834,823,11,58.16%
1738,1402,751,738,13,53.57%
1739,1295,718,699,19,55.44%
1740,1443,848,844,4,58.77%
