Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,76112,45290,44685,605,59.50%
0605,1558,952,944,8,61.10%
0606,1405,868,853,15,61.78%
0607,1502,778,765,13,51.80%
0608,1444,829,814,15,57.41%
0609,1371,856,844,12,62.44%
0610,1407,836,823,13,59.42%
0611,1383,795,775,20,57.48%
0612,1514,901,891,10,59.51%
0613,1459,905,892,13,62.03%
0614,1442,891,884,7,61.79%
0615,1390,893,875,18,64.24%
0616,1256,750,742,8,59.71%
0617,1445,836,832,4,57.85%
0618,1158,641,631,10,55.35%
0619,1272,681,674,7,53.54%
0620,1382,838,827,11,60.64%
0621,1535,876,869,7,57.07%
0622,1377,848,834,14,61.58%
0623,1488,865,849,16,58.13%
0624,1494,803,794,9,53.75%
0625,1426,819,810,9,57.43%
0626,1483,840,827,13,56.64%
0627,1636,863,854,9,52.75%
0628,1540,861,857,4,55.91%
0629,1495,763,756,7,51.04%
0630,1549,826,819,7,53.32%
0631,1463,823,809,14,56.25%
0632,1509,880,870,10,58.32%
0633,1636,922,911,11,56.36%
0634,1285,654,644,10,50.89%
0635,1233,724,716,8,58.72%
0636,1143,689,676,13,60.28%
0637,1180,738,730,8,62.54%
0638,1082,601,593,8,55.55%
0639,1059,606,597,9,57.22%
0640,1266,670,662,8,52.92%
0641,1540,977,968,9,63.44%
0642,1483,979,975,4,66.01%
0643,1396,871,867,4,62.39%
0644,1503,1023,1010,13,68.06%
0645,1526,1028,1009,19,67.37%
0646,1508,996,984,12,66.05%
0647,1578,885,872,13,56.08%
0648,1565,988,974,14,63.13%
0649,1363,778,774,4,57.08%
0650,1462,902,893,9,61.70%
0651,1013,679,666,13,67.03%
0652,1137,789,773,16,69.39%
0653,1125,822,805,17,73.07%
0654,1373,845,835,10,61.54%
0655,1509,908,900,8,60.17%
0656,1283,739,728,11,57.60%
0657,1215,730,709,21,60.08%
0658,1038,660,645,15,63.58%
0659,1228,770,755,15,62.70%
