Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,15646,10602,10369,233,67.76%
0058,996,632,618,14,63.45%
0059,969,629,615,14,64.91%
0060,1205,770,758,12,63.90%
0061,1347,844,804,40,62.66%
0062,1149,797,785,12,69.36%
0063,1094,725,704,21,66.27%
0064,850,635,626,9,74.71%
0065,600,421,405,16,70.17%
0066,846,623,609,14,73.64%
0067,1233,874,853,21,70.88%
0068,429,311,303,8,72.49%
0069,987,731,715,16,74.06%
0070,592,383,374,9,64.70%
0071,742,466,460,6,62.80%
0072,907,579,572,7,63.84%
0073,755,459,453,6,60.79%
0074,945,723,715,8,76.51%
