Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,40912,26957,26442,515,65.89%
1789,1181,675,661,14,57.15%
1790,951,731,707,24,76.87%
1791,837,619,603,16,73.95%
1792,930,591,578,13,63.55%
1793,800,515,509,6,64.38%
1794,846,606,598,8,71.63%
1795,689,443,433,10,64.30%
1796,1301,820,801,19,63.03%
1797,1127,752,745,7,66.73%
1798,1179,786,777,9,66.67%
1799,1129,726,716,10,64.30%
1800,1184,795,782,13,67.15%
1801,1353,957,945,12,70.73%
1802,1110,718,705,13,64.68%
1803,1356,839,820,19,61.87%
1804,836,560,551,9,66.99%
1805,932,615,596,19,65.99%
1806,1105,701,689,12,63.44%
1807,1149,747,737,10,65.01%
1808,956,618,606,12,64.64%
1809,919,681,672,9,74.10%
1810,1341,838,822,16,62.49%
1811,1071,644,630,14,60.13%
1812,955,613,600,13,64.19%
1813,892,557,548,9,62.44%
1814,787,531,521,10,67.47%
1815,977,600,589,11,61.41%
1816,792,569,561,8,71.84%
1817,1309,850,840,10,64.94%
1818,690,417,413,4,60.43%
1819,1247,804,781,23,64.47%
1820,763,508,491,17,66.58%
1821,824,574,564,10,69.66%
1822,964,655,648,7,67.95%
1823,941,650,638,12,69.08%
1824,1123,781,761,20,69.55%
1825,874,492,482,10,56.29%
1826,866,526,513,13,60.74%
1827,673,413,404,9,61.37%
1828,633,468,458,10,73.93%
1829,1320,972,947,25,73.64%
