Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,63037,38281,37781,500,60.73%
1364,1113,446,442,4,40.07%
1365,903,532,523,9,58.91%
1366,802,463,455,8,57.73%
1367,997,653,636,17,65.50%
1368,1049,648,636,12,61.77%
1369,843,546,530,16,64.77%
1370,1302,826,821,5,63.44%
1371,1146,728,714,14,63.53%
1372,1142,738,727,11,64.62%
1373,1338,866,859,7,64.72%
1374,1352,921,909,12,68.12%
1375,1005,614,604,10,61.09%
1376,1007,617,610,7,61.27%
1377,1066,718,707,11,67.35%
1378,848,508,499,9,59.91%
1379,808,558,553,5,69.06%
1380,760,502,490,12,66.05%
1381,809,535,531,4,66.13%
1382,1224,734,727,7,59.97%
1383,1064,590,577,13,55.45%
1384,1106,723,713,10,65.37%
1385,996,620,603,17,62.25%
1386,1121,692,684,8,61.73%
1387,1304,874,865,9,67.02%
1388,1104,681,674,7,61.68%
1389,1129,647,640,7,57.31%
1390,1182,674,665,9,57.02%
1391,1115,672,667,5,60.27%
1392,1251,692,687,5,55.32%
1393,1057,636,632,4,60.17%
1394,1200,793,783,10,66.08%
1395,1111,620,615,5,55.81%
1396,962,551,544,7,57.28%
1397,1257,795,784,11,63.25%
1398,1259,781,776,5,62.03%
1399,1302,786,770,16,60.37%
1400,1295,717,702,15,55.37%
1401,1044,594,586,8,56.90%
1402,1226,701,695,6,57.18%
1403,1239,619,610,9,49.96%
1404,1300,692,683,9,53.23%
1405,1349,875,863,12,64.86%
1406,1131,673,665,8,59.50%
1407,1369,754,744,10,55.08%
1408,1103,661,650,11,59.93%
1409,909,559,554,5,61.50%
1410,931,646,637,9,69.39%
1411,916,545,544,1,59.50%
1412,762,468,465,3,61.42%
1413,909,559,552,7,61.50%
1414,1239,804,795,9,64.89%
1415,1240,766,759,7,61.77%
1416,1290,647,642,5,50.16%
1417,1242,749,743,6,60.31%
1418,1200,792,776,16,66.00%
1419,1163,706,699,7,60.71%
1420,1146,774,765,9,67.54%
