Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,132286,83158,82012,1146,62.86%
0451,888,532,524,8,59.91%
0452,1257,810,797,13,64.44%
0453,1051,626,619,7,59.56%
0454,864,536,522,14,62.04%
0455,754,578,567,11,76.66%
0456,735,530,512,18,72.11%
0457,1302,813,805,8,62.44%
0458,1260,806,799,7,63.97%
0459,1366,888,879,9,65.01%
0460,1036,676,665,11,65.25%
0461,1028,634,625,9,61.67%
0462,1358,837,833,4,61.63%
0463,1442,886,867,19,61.44%
0464,1381,920,897,23,66.62%
0465,1430,912,902,10,63.78%
0466,1328,880,862,18,66.27%
0467,1116,783,771,12,70.16%
0468,1350,903,897,6,66.89%
0469,1380,916,899,17,66.38%
0470,1025,586,579,7,57.17%
0471,1332,861,843,18,64.64%
0472,1074,626,620,6,58.29%
0473,1347,904,886,18,67.11%
0474,1285,731,726,5,56.89%
0475,825,539,535,4,65.33%
0476,734,482,480,2,65.67%
0477,1222,920,893,27,75.29%
0478,1204,793,786,7,65.86%
0479,1006,707,693,14,70.28%
0480,1025,684,674,10,66.73%
0481,663,480,468,12,72.40%
0482,566,381,375,6,67.31%
0483,1078,716,705,11,66.42%
0484,1170,729,716,13,62.31%
0485,1178,755,747,8,64.09%
0486,1145,721,716,5,62.97%
0487,1229,866,855,11,70.46%
0488,857,561,553,8,65.46%
0489,1391,847,835,12,60.89%
0490,1434,905,898,7,63.11%
0491,1328,809,795,14,60.92%
0492,1354,779,773,6,57.53%
0493,1314,774,765,9,58.90%
0494,1320,650,642,8,49.24%
0495,1372,790,776,14,57.58%
0496,1352,871,856,15,64.42%
0497,1468,893,886,7,60.83%
0498,1153,732,719,13,63.49%
0499,1090,740,730,10,67.89%
0500,1335,800,792,8,59.93%
0501,1149,756,751,5,65.80%
0502,1281,823,808,15,64.25%
0503,1358,843,827,16,62.08%
0504,1072,710,702,8,66.23%
0505,1682,757,748,9,45.01%
0506,1063,672,663,9,63.22%
0507,1069,719,714,5,67.26%
0508,1152,757,751,6,65.71%
0509,1069,715,707,8,66.88%
0510,1437,861,843,18,59.92%
0511,1377,843,837,6,61.22%
0512,1474,875,864,11,59.36%
0513,1370,764,753,11,55.77%
0514,1414,845,831,14,59.76%
0515,1334,788,775,13,59.07%
0516,1489,907,897,10,60.91%
0517,1500,959,944,15,63.93%
0518,1426,921,909,12,64.59%
0519,1534,1018,1003,15,66.36%
0520,1128,749,739,10,66.40%
0521,1393,885,872,13,63.53%
0522,1316,730,714,16,55.47%
0523,1294,774,764,10,59.81%
0524,1342,829,824,5,61.77%
0525,1324,781,773,8,58.99%
0526,1359,750,741,9,55.19%
0527,1211,717,709,8,59.21%
0528,1124,709,701,8,63.08%
0529,1258,700,692,8,55.64%
0530,1545,920,910,10,59.55%
0531,1431,901,894,7,62.96%
0532,1359,846,839,7,62.25%
0533,1508,927,917,10,61.47%
0534,1443,909,900,9,62.99%
0535,1378,838,834,4,60.81%
0536,1417,881,872,9,62.17%
0537,1193,709,693,16,59.43%
0538,1377,876,871,5,63.62%
0539,1487,1019,1000,19,68.53%
0540,1445,901,889,12,62.35%
0541,1147,733,719,14,63.91%
0542,1165,711,705,6,61.03%
0543,1389,827,819,8,59.54%
0544,1096,672,662,10,61.31%
0545,1041,713,697,16,68.49%
0546,931,604,597,7,64.88%
0547,1028,693,684,9,67.41%
0548,1051,689,672,17,65.56%
0549,1191,790,771,19,66.33%
0550,1052,674,665,9,64.07%
0551,1106,700,694,6,63.29%
0552,1096,671,657,14,61.22%
0553,1041,623,616,7,59.85%
0554,1059,672,666,6,63.46%
0555,899,608,595,13,67.63%
0556,1060,726,713,13,68.49%
0557,1068,712,704,8,66.67%
0558,989,610,606,4,61.68%
0559,1093,748,736,12,68.44%
