Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,9286,6615,6483,132,71.24%
1864,934,683,666,17,73.13%
1865,942,736,723,13,78.13%
1866,451,341,327,14,75.61%
1867,947,683,672,11,72.12%
1868,631,443,432,11,70.21%
1869,272,208,203,5,76.47%
1870,441,342,338,4,77.55%
1871,315,233,225,8,73.97%
1872,759,555,544,11,73.12%
1873,341,253,250,3,74.19%
1874,444,339,336,3,76.35%
1875,357,219,218,1,61.34%
1876,746,390,379,11,52.28%
1877,524,297,292,5,56.68%
1878,277,203,201,2,73.29%
1879,147,80,79,1,54.42%
1880,758,610,598,12,80.47%
