Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,43678,28371,27951,420,64.95%
0410,832,544,533,11,65.38%
0411,1151,653,646,7,56.73%
0412,989,653,643,10,66.03%
0413,1089,658,654,4,60.42%
0414,985,620,616,4,62.94%
0415,910,563,556,7,61.87%
0416,1319,759,747,12,57.54%
0417,1147,730,717,13,63.64%
0418,1120,765,753,12,68.30%
0419,1113,742,737,5,66.67%
0420,1302,827,814,13,63.52%
0421,965,617,607,10,63.94%
0422,1135,748,738,10,65.90%
0423,1130,722,714,8,63.89%
0424,1119,754,748,6,67.38%
0425,1222,773,761,12,63.26%
0426,1114,752,741,11,67.50%
0427,934,539,531,8,57.71%
0428,933,577,568,9,61.84%
0429,1166,738,733,5,63.29%
0430,1115,673,666,7,60.36%
0431,990,608,600,8,61.41%
0432,1248,845,826,19,67.71%
0433,1061,682,674,8,64.28%
0434,1108,707,695,12,63.81%
0435,1162,813,798,15,69.97%
0436,1140,757,745,12,66.40%
0437,1165,863,843,20,74.08%
0438,998,702,683,19,70.34%
0439,692,462,454,8,66.76%
0440,830,545,538,7,65.66%
0441,1010,722,702,20,71.49%
0442,1030,711,699,12,69.03%
0443,1092,740,731,9,67.77%
0444,1096,740,725,15,67.52%
0445,932,625,613,12,67.06%
0446,948,644,634,10,67.93%
0447,941,642,637,5,68.23%
0448,1011,628,621,7,62.12%
0449,1067,608,603,5,56.98%
0450,1367,920,907,13,67.30%
