Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,63070,38023,37418,605,60.29%
0270,903,517,507,10,57.25%
0271,806,423,417,6,52.48%
0272,1294,786,772,14,60.74%
0273,1325,904,879,25,68.23%
0274,1416,878,860,18,62.01%
0275,919,613,604,9,66.70%
0276,846,559,544,15,66.08%
0277,1365,846,824,22,61.98%
0278,1198,720,709,11,60.10%
0279,1055,632,625,7,59.91%
0280,1008,700,685,15,69.44%
0281,1306,903,890,13,69.14%
0282,845,613,604,9,72.54%
0283,1422,826,819,7,58.09%
0284,1384,831,817,14,60.04%
0285,1282,742,736,6,57.88%
0286,775,471,456,15,60.77%
0287,1473,985,961,24,66.87%
0288,1357,908,892,16,66.91%
0289,1164,792,784,8,68.04%
0290,1247,770,753,17,61.75%
0291,1209,794,780,14,65.67%
0292,1099,708,696,12,64.42%
0293,1477,1049,1032,17,71.02%
0294,1384,831,818,13,60.04%
0295,1387,790,778,12,56.96%
0296,1289,864,853,11,67.03%
0297,1472,859,844,15,58.36%
0298,1539,790,773,17,51.33%
0299,1379,850,834,16,61.64%
0300,942,540,536,4,57.32%
0301,919,518,515,3,56.37%
0302,1287,686,679,7,53.30%
0303,1482,864,854,10,58.30%
0304,1202,725,715,10,60.32%
0305,1479,791,774,17,53.48%
0306,1143,598,593,5,52.32%
0307,1067,600,587,13,56.23%
0308,1111,631,621,10,56.80%
0309,1296,741,732,9,57.18%
0310,1504,1199,1171,28,79.72%
0311,1132,609,600,9,53.80%
0312,959,573,566,7,59.75%
0313,1356,782,771,11,57.67%
0314,1210,658,652,6,54.38%
0315,1439,772,765,7,53.65%
0316,1466,799,790,9,54.50%
0317,1442,787,780,7,54.58%
0318,1367,712,703,9,52.08%
0319,1284,706,694,12,54.98%
0320,1358,778,774,4,57.29%
