Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,138694,80521,79505,1016,58.06%
0878,1165,669,666,3,57.42%
0879,1230,689,687,2,56.02%
0880,1053,618,609,9,58.69%
0881,1295,795,785,10,61.39%
0882,1206,690,679,11,57.21%
0883,1158,657,650,7,56.74%
0884,1075,595,583,12,55.35%
0885,1347,865,857,8,64.22%
0886,1328,826,810,16,62.20%
0887,1514,863,851,12,57.00%
0888,1401,854,839,15,60.96%
0889,1359,794,783,11,58.43%
0890,1300,783,772,11,60.23%
0891,1421,868,862,6,61.08%
0892,1335,873,860,13,65.39%
0893,1182,782,776,6,66.16%
0894,1482,1004,992,12,67.75%
0895,1554,993,977,16,63.90%
0896,1547,967,951,16,62.51%
0897,1441,828,811,17,57.46%
0898,1300,810,805,5,62.31%
0899,1392,857,845,12,61.57%
0900,553,382,374,8,69.08%
0901,727,516,498,18,70.98%
0902,1130,709,697,12,62.74%
0903,1216,727,715,12,59.79%
0904,1204,745,733,12,61.88%
0905,1380,843,835,8,61.09%
0906,1403,629,621,8,44.83%
0907,1602,939,917,22,58.61%
0908,1386,724,711,13,52.24%
0909,1191,614,606,8,51.55%
0910,1048,590,585,5,56.30%
0911,1531,792,786,6,51.73%
0912,1389,799,787,12,57.52%
0913,1259,699,690,9,55.52%
0914,1434,834,826,8,58.16%
0915,1796,936,932,4,52.12%
0916,1220,771,755,16,63.20%
0917,1186,652,649,3,54.97%
0918,1298,767,755,12,59.09%
0919,1404,823,810,13,58.62%
0920,1372,857,846,11,62.46%
0921,1383,694,688,6,50.18%
0922,1175,689,681,8,58.64%
0923,1170,668,660,8,57.09%
0924,1299,810,803,7,62.36%
0925,1389,840,823,17,60.48%
0926,1266,774,762,12,61.14%
0927,1319,759,751,8,57.54%
0928,1346,738,730,8,54.83%
0929,1639,848,839,9,51.74%
0930,1415,760,744,16,53.71%
0931,1288,672,665,7,52.17%
0932,1209,662,657,5,54.76%
0933,1224,738,726,12,60.29%
0934,1220,674,666,8,55.25%
0935,1188,631,627,4,53.11%
0936,1413,871,859,12,61.64%
0937,1426,804,793,11,56.38%
0938,1542,837,824,13,54.28%
0939,1261,700,689,11,55.51%
0940,1243,731,725,6,58.81%
0941,1296,673,671,2,51.93%
0942,883,613,605,8,69.42%
0943,988,634,629,5,64.17%
0944,897,554,553,1,61.76%
0945,1120,696,691,5,62.14%
0946,1131,727,722,5,64.28%
0947,1360,817,807,10,60.07%
0948,1331,819,809,10,61.53%
0949,1255,821,813,8,65.42%
0950,1166,668,658,10,57.29%
0951,1235,661,658,3,53.52%
0952,1278,652,644,8,51.02%
0953,1388,743,738,5,53.53%
0954,1260,744,736,8,59.05%
0955,1567,871,859,12,55.58%
0956,1364,709,705,4,51.98%
0957,1682,873,863,10,51.90%
0958,1375,748,739,9,54.40%
0959,1550,843,833,10,54.39%
0960,1510,899,889,10,59.54%
0961,1473,904,893,11,61.37%
0962,1530,975,962,13,63.73%
0963,1532,908,896,12,59.27%
0964,1563,930,912,18,59.50%
0965,2262,872,864,8,38.55%
0966,1441,780,776,4,54.13%
0967,1170,693,686,7,59.23%
0968,1389,760,750,10,54.72%
0969,1082,629,623,6,58.13%
0970,1428,813,797,16,56.93%
0971,1513,871,865,6,57.57%
0972,976,599,587,12,61.37%
0973,1066,613,606,7,57.50%
0974,1338,764,754,10,57.10%
0975,1079,669,657,12,62.00%
0976,1162,719,712,7,61.88%
0977,1136,685,679,6,60.30%
0978,1256,793,786,7,63.14%
0979,1499,910,890,20,60.71%
0980,1468,918,904,14,62.53%
0981,1065,667,656,11,62.63%
0982,1218,693,685,8,56.90%
0983,1183,663,653,10,56.04%
