Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,118882,68589,67782,807,57.70%
1176,1213,713,706,7,58.78%
1177,1660,930,914,16,56.02%
1178,1014,578,570,8,57.00%
1179,921,564,553,11,61.24%
1180,902,540,528,12,59.87%
1181,897,508,501,7,56.63%
1182,1295,833,826,7,64.32%
1183,1222,776,751,25,63.50%
1184,832,558,545,13,67.07%
1185,1278,719,708,11,56.26%
1186,957,510,504,6,53.29%
1187,801,454,448,6,56.68%
1188,639,392,388,4,61.35%
1189,918,471,463,8,51.31%
1190,669,423,416,7,63.23%
1191,705,358,353,5,50.78%
1192,1277,856,846,10,67.03%
1193,1078,660,652,8,61.22%
1194,1618,1028,1017,11,63.54%
1195,1345,848,843,5,63.05%
1196,1298,897,884,13,69.11%
1197,992,661,648,13,66.63%
1198,1632,1011,990,21,61.95%
1199,1518,829,824,5,54.61%
1200,1020,590,580,10,57.84%
1201,1047,692,683,9,66.09%
1202,1016,658,649,9,64.76%
1203,1029,576,570,6,55.98%
1204,1061,636,623,13,59.94%
1205,1009,616,609,7,61.05%
1206,1516,899,878,21,59.30%
1207,1813,993,986,7,54.77%
1208,1315,797,789,8,60.61%
1209,1134,660,652,8,58.20%
1210,1221,696,692,4,57.00%
1211,1360,853,843,10,62.72%
1212,1333,768,762,6,57.61%
1213,1362,762,753,9,55.95%
1214,1121,627,623,4,55.93%
1215,996,592,588,4,59.44%
1216,1121,628,624,4,56.02%
1217,1178,653,651,2,55.43%
1218,1000,597,592,5,59.70%
1219,960,520,513,7,54.17%
1220,938,545,540,5,58.10%
1221,1187,643,641,2,54.17%
1222,1396,823,812,11,58.95%
1223,1343,744,733,11,55.40%
1224,1099,587,582,5,53.41%
1225,1047,592,589,3,56.54%
1226,1105,573,567,6,51.86%
1227,1984,560,558,2,28.23%
1228,1471,802,798,4,54.52%
1229,1380,697,687,10,50.51%
1230,1282,820,812,8,63.96%
1231,1276,758,753,5,59.40%
1232,1089,582,573,9,53.44%
1233,1360,689,681,8,50.66%
1234,1114,632,625,7,56.73%
1235,1125,686,676,10,60.98%
1236,1235,730,720,10,59.11%
1237,1436,764,757,7,53.20%
1238,1386,753,745,8,54.33%
1239,1170,707,701,6,60.43%
1240,1190,624,619,5,52.44%
1241,1158,653,644,9,56.39%
1242,1581,831,822,9,52.56%
1243,1529,861,846,15,56.31%
1244,1227,750,738,12,61.12%
1245,1310,785,782,3,59.92%
1246,1539,847,842,5,55.04%
1247,1419,876,860,16,61.73%
1248,910,527,525,2,57.91%
1249,1104,659,656,3,59.69%
1250,1384,834,825,9,60.26%
1251,1076,631,622,9,58.64%
1252,1152,705,697,8,61.20%
1253,1159,692,689,3,59.71%
1254,1260,737,731,6,58.49%
1255,992,524,518,6,52.82%
1256,1215,716,705,11,58.93%
1257,1210,722,712,10,59.67%
1258,1524,839,829,10,55.05%
1259,1315,726,720,6,55.21%
1260,1256,749,739,10,59.63%
1261,1224,707,702,5,57.76%
1262,1185,649,645,4,54.77%
1263,1281,766,757,9,59.80%
1264,1231,731,716,15,59.38%
1265,1378,779,773,6,56.53%
1266,1448,830,823,7,57.32%
1267,1393,822,812,10,59.01%
1268,1492,806,801,5,54.02%
1269,1132,673,662,11,59.45%
1270,1213,707,702,5,58.29%
1271,1221,682,675,7,55.86%
1272,1291,792,778,14,61.35%
1273,1167,740,727,13,63.41%
