Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,72612,47284,46583,701,65.12%
0099,1029,750,732,18,72.89%
0100,882,585,574,11,66.33%
0101,850,575,568,7,67.65%
0102,1412,921,909,12,65.23%
0103,616,438,427,11,71.10%
0104,815,554,547,7,67.98%
0105,861,540,531,9,62.72%
0106,1505,1010,995,15,67.11%
0107,655,457,454,3,69.77%
0108,364,300,288,12,82.42%
0109,1382,895,884,11,64.76%
0110,744,477,472,5,64.11%
0111,1244,801,794,7,64.39%
0112,1506,957,947,10,63.55%
0113,1555,927,913,14,59.61%
0114,1352,874,869,5,64.64%
0115,1399,929,917,12,66.40%
0116,1553,974,956,18,62.72%
0117,1347,903,893,10,67.04%
0118,1414,1021,1009,12,72.21%
0119,1453,952,936,16,65.52%
0120,1473,928,906,22,63.00%
0121,1635,1050,1043,7,64.22%
0122,1225,795,784,11,64.90%
0123,1120,727,719,8,64.91%
0124,1261,887,872,15,70.34%
0125,866,575,567,8,66.40%
0126,1008,724,706,18,71.83%
0127,1038,684,675,9,65.90%
0128,1366,770,763,7,56.37%
0129,1283,797,790,7,62.12%
0130,1176,667,655,12,56.72%
0131,1285,748,740,8,58.21%
0132,2133,888,880,8,41.63%
0133,1516,926,919,7,61.08%
0134,1178,737,731,6,62.56%
0135,1224,854,832,22,69.77%
0136,1249,825,812,13,66.05%
0137,1178,844,828,16,71.65%
0138,1113,717,707,10,64.42%
0139,1278,1034,1014,20,80.91%
0140,1088,678,668,10,62.32%
0141,865,602,593,9,69.60%
0142,1086,713,704,9,65.65%
0143,1071,679,668,11,63.40%
0144,785,531,522,9,67.64%
0145,889,676,662,14,76.04%
0146,1314,749,744,5,57.00%
0147,1060,569,565,4,53.68%
0148,1267,825,812,13,65.11%
0149,1393,983,967,16,70.57%
0150,1278,875,860,15,68.47%
0151,1635,1073,1054,19,65.63%
0152,1657,1078,1067,11,65.06%
0153,1288,869,854,15,67.47%
0154,1383,1013,996,17,73.25%
0155,1163,724,714,10,62.25%
0156,1411,990,968,22,70.16%
0157,1096,725,708,17,66.15%
0158,1340,915,899,16,68.28%
