Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,75295,47675,46993,682,63.32%
0199,725,461,454,7,63.59%
0200,544,333,326,7,61.21%
0201,789,528,521,7,66.92%
0202,1084,799,787,12,73.71%
0203,836,563,556,7,67.34%
0204,456,299,296,3,65.57%
0205,751,509,498,11,67.78%
0206,909,638,622,16,70.19%
0207,678,473,467,6,69.76%
0208,1277,870,855,15,68.13%
0209,1079,732,718,14,67.84%
0210,935,579,573,6,61.93%
0211,1121,787,775,12,70.21%
0212,953,638,630,8,66.95%
0213,1350,938,911,27,69.48%
0214,872,616,607,9,70.64%
0215,1184,781,763,18,65.96%
0216,1184,805,790,15,67.99%
0217,1476,945,936,9,64.02%
0218,1557,992,985,7,63.71%
0219,1125,754,736,18,67.02%
0220,1169,806,798,8,68.95%
0221,1165,771,764,7,66.18%
0222,995,649,646,3,65.23%
0223,1171,755,743,12,64.47%
0224,1104,721,713,8,65.31%
0225,921,538,531,7,58.41%
0226,861,523,515,8,60.74%
0227,1169,725,715,10,62.02%
0228,1083,657,649,8,60.66%
0229,1089,641,636,5,58.86%
0230,1137,656,652,4,57.70%
0231,1034,645,639,6,62.38%
0232,1063,667,656,11,62.75%
0233,1363,937,923,14,68.75%
0234,1094,728,721,7,66.54%
0235,1298,821,811,10,63.25%
0236,976,635,624,11,65.06%
0237,890,582,576,6,65.39%
0238,1096,721,711,10,65.78%
0239,1018,569,562,7,55.89%
0240,906,573,566,7,63.25%
0241,660,426,419,7,64.55%
0242,1038,621,615,6,59.83%
0243,1400,848,830,18,60.57%
0244,1216,690,681,9,56.74%
0245,1317,784,775,9,59.53%
0246,1400,837,829,8,59.79%
0247,707,478,469,9,67.61%
0248,825,558,546,12,67.64%
0249,994,646,637,9,64.99%
0250,746,521,506,15,69.84%
0251,1287,809,796,13,62.86%
0252,993,581,575,6,58.51%
0253,1111,656,638,18,59.05%
0254,1096,694,686,8,63.32%
0255,1262,768,763,5,60.86%
0256,1401,801,792,9,57.17%
0257,1292,726,721,5,56.19%
0258,1118,731,711,20,65.38%
0259,1025,575,569,6,56.10%
0260,866,426,422,4,49.19%
0261,1583,797,787,10,50.35%
0262,1296,832,817,15,64.20%
0263,934,528,525,3,56.53%
0264,906,565,559,6,62.36%
0265,1078,692,685,7,64.19%
0266,1199,748,740,8,62.39%
0267,1025,645,638,7,62.93%
0268,1059,676,660,16,63.83%
0269,974,656,645,11,67.35%
