Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,53056,33231,32775,456,62.63%
0560,1025,637,630,7,62.15%
0561,937,591,586,5,63.07%
0562,1078,570,562,8,52.88%
0563,1194,824,810,14,69.01%
0564,1012,718,706,12,70.95%
0565,1285,883,873,10,68.72%
0566,1248,825,807,18,66.11%
0567,1119,778,771,7,69.53%
0568,1039,725,714,11,69.78%
0569,1210,778,766,12,64.30%
0570,973,539,530,9,55.40%
0571,904,662,650,12,73.23%
0572,1100,734,723,11,66.73%
0573,1358,921,909,12,67.82%
0574,1338,877,869,8,65.55%
0575,1290,813,797,16,63.02%
0576,980,657,644,13,67.04%
0577,1287,761,752,9,59.13%
0578,1232,782,771,11,63.47%
0579,1382,860,848,12,62.23%
0580,1110,684,675,9,61.62%
0581,1192,725,717,8,60.82%
0582,1174,739,729,10,62.95%
0583,1357,817,805,12,60.21%
0584,1065,701,691,10,65.82%
0585,1410,882,876,6,62.55%
0586,1202,737,730,7,61.31%
0587,1130,720,707,13,63.72%
0588,1327,819,808,11,61.72%
0589,1180,760,755,5,64.41%
0590,1082,641,630,11,59.24%
0591,923,506,498,8,54.82%
0592,1142,603,595,8,52.80%
0593,1410,835,826,9,59.22%
0594,1351,732,718,14,54.18%
0595,1250,707,695,12,56.56%
0596,1234,672,667,5,54.46%
0597,1018,610,602,8,59.92%
0598,1236,728,724,4,58.90%
0599,982,583,579,4,59.37%
0600,1158,719,711,8,62.09%
0601,1162,795,781,14,68.42%
0602,1268,868,856,12,68.45%
0603,1426,884,866,18,61.99%
0604,1276,829,816,13,64.97%
