Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,102553,61057,60314,743,59.54%
1421,844,535,526,9,63.39%
1422,890,545,539,6,61.24%
1423,1152,708,694,14,61.46%
1424,1133,766,756,10,67.61%
1425,1080,672,665,7,62.22%
1426,1144,718,704,14,62.76%
1427,1118,659,652,7,58.94%
1428,1163,763,753,10,65.61%
1429,1192,736,730,6,61.74%
1430,1233,762,746,16,61.80%
1431,1096,725,719,6,66.15%
1432,1236,798,789,9,64.56%
1433,1032,643,639,4,62.31%
1434,1317,882,870,12,66.97%
1435,1401,841,824,17,60.03%
1436,1093,728,712,16,66.61%
1437,1339,865,862,3,64.60%
1438,1273,847,826,21,66.54%
1439,1361,853,845,8,62.67%
1440,1449,867,857,10,59.83%
1441,1410,803,798,5,56.95%
1442,1449,872,864,8,60.18%
1443,1279,866,857,9,67.71%
1444,1248,857,843,14,68.67%
1445,1144,687,682,5,60.05%
1446,1219,687,675,12,56.36%
1447,1363,747,738,9,54.81%
1448,1239,695,683,12,56.09%
1449,1270,732,725,7,57.64%
1450,1411,888,876,12,62.93%
1451,1375,826,817,9,60.07%
1452,1254,793,781,12,63.24%
1453,1395,805,793,12,57.71%
1454,1378,760,752,8,55.15%
1455,1305,755,746,9,57.85%
1456,1283,645,636,9,50.27%
1457,1109,676,667,9,60.96%
1458,1145,750,738,12,65.50%
1459,1063,668,660,8,62.84%
1460,1397,854,845,9,61.13%
1461,1902,756,750,6,39.75%
1462,1290,689,678,11,53.41%
1463,1341,676,673,3,50.41%
1464,1207,698,693,5,57.83%
1465,1271,733,727,6,57.67%
1466,1202,811,804,7,67.47%
1467,1327,787,779,8,59.31%
1468,1290,659,655,4,51.09%
1469,1396,751,745,6,53.80%
1470,1200,778,762,16,64.83%
1471,1152,667,659,8,57.90%
1472,1224,693,686,7,56.62%
1473,1038,638,627,11,61.46%
1474,1069,623,615,8,58.28%
1475,1461,766,758,8,52.43%
1476,1422,778,774,4,54.71%
1477,1396,890,884,6,63.75%
1478,1473,912,896,16,61.91%
1479,1460,824,811,13,56.44%
1480,1395,814,808,6,58.35%
1481,1387,877,858,19,63.23%
1482,1373,853,839,14,62.13%
1483,1381,718,706,12,51.99%
1484,1311,754,747,7,57.51%
1485,1314,743,736,7,56.54%
1486,1331,838,834,4,62.96%
1487,1171,714,708,6,60.97%
1488,1557,896,882,14,57.55%
1489,1382,803,792,11,58.10%
1490,1291,766,762,4,59.33%
1491,1242,742,726,16,59.74%
1492,1496,868,858,10,58.02%
1493,1207,723,712,11,59.90%
1494,1322,788,777,11,59.61%
1495,1340,778,771,7,58.06%
1496,1398,796,786,10,56.94%
1497,1230,806,796,10,65.53%
1498,1333,842,838,4,63.17%
1499,1330,766,761,5,57.59%
1500,1359,764,757,7,56.22%
