Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,159004,88445,87283,1162,55.62%
1501,1297,739,732,7,56.98%
1502,1328,825,808,17,62.12%
1503,1248,723,709,14,57.93%
1504,1222,723,711,12,59.17%
1505,1559,1046,1025,21,67.09%
1506,1329,879,867,12,66.14%
1507,1454,832,823,9,57.22%
1508,1760,1033,1019,14,58.69%
1509,1419,798,784,14,56.24%
1510,1259,676,668,8,53.69%
1511,1349,784,775,9,58.12%
1512,1289,794,786,8,61.60%
1513,1318,757,742,15,57.44%
1514,1490,794,780,14,53.29%
1515,1218,705,700,5,57.88%
1516,1223,680,674,6,55.60%
1517,1152,563,556,7,48.87%
1518,1140,633,627,6,55.53%
1519,1222,585,578,7,47.87%
1520,1191,638,632,6,53.57%
1521,922,548,536,12,59.44%
1522,980,600,593,7,61.22%
1523,1073,557,550,7,51.91%
1524,1033,578,570,8,55.95%
1525,1377,788,777,11,57.23%
1526,1282,767,759,8,59.83%
1527,1289,699,687,12,54.23%
1528,1449,722,712,10,49.83%
1529,1320,768,758,10,58.18%
1530,1226,731,719,12,59.62%
1531,1154,714,705,9,61.87%
1532,1360,697,687,10,51.25%
1533,1304,718,709,9,55.06%
1534,1368,726,718,8,53.07%
1535,1339,697,684,13,52.05%
1536,1306,676,665,11,51.76%
1537,1469,854,842,12,58.13%
1538,1468,727,717,10,49.52%
1539,1296,672,661,11,51.85%
1540,1116,731,722,9,65.50%
1541,1025,645,634,11,62.93%
1542,1033,630,623,7,60.99%
1543,1428,850,837,13,59.52%
1544,997,594,587,7,59.58%
1545,1030,626,615,11,60.78%
1546,1049,635,629,6,60.53%
1547,1336,748,735,13,55.99%
1548,1494,858,855,3,57.43%
1549,1099,600,598,2,54.60%
1550,1107,562,558,4,50.77%
1551,1250,664,658,6,53.12%
1552,1094,564,560,4,51.55%
1553,1348,661,647,14,49.04%
1554,1634,897,879,18,54.90%
1555,2039,760,754,6,37.27%
1556,1535,852,841,11,55.50%
1557,1372,759,754,5,55.32%
1558,1288,756,752,4,58.70%
1559,1783,995,983,12,55.80%
1560,1450,746,735,11,51.45%
1561,1401,735,722,13,52.46%
1562,1414,727,719,8,51.41%
1563,1589,791,782,9,49.78%
1564,1491,820,811,9,55.00%
1565,1367,739,728,11,54.06%
1566,1423,690,681,9,48.49%
1567,1891,1021,1008,13,53.99%
1568,1155,585,581,4,50.65%
1569,1074,528,519,9,49.16%
1570,1506,796,784,12,52.86%
1571,1472,874,861,13,59.38%
1572,1704,827,818,9,48.53%
1573,1528,961,955,6,62.89%
1574,1414,717,705,12,50.71%
1575,1456,860,850,10,59.07%
1576,1312,747,743,4,56.94%
1577,1230,653,650,3,53.09%
1578,1583,933,922,11,58.94%
1579,1354,646,636,10,47.71%
1580,1467,741,735,6,50.51%
1581,1339,652,643,9,48.69%
1582,1438,717,712,5,49.86%
1583,1387,788,782,6,56.81%
1584,1411,758,749,9,53.72%
1585,1403,792,782,10,56.45%
1586,1647,844,833,11,51.24%
1587,1580,830,820,10,52.53%
1588,1209,705,690,15,58.31%
1589,1318,718,710,8,54.48%
1590,1760,980,970,10,55.68%
1591,1541,864,853,11,56.07%
1592,1515,767,761,6,50.63%
1593,1466,813,808,5,55.46%
1594,1538,791,780,11,51.43%
1595,1296,736,732,4,56.79%
1596,830,425,422,3,51.20%
1597,1382,721,718,3,52.17%
1598,1490,869,863,6,58.32%
1599,1198,623,619,4,52.00%
1600,1132,635,628,7,56.10%
1601,1402,648,646,2,46.22%
1602,1396,759,752,7,54.37%
1603,852,588,572,16,69.01%
1604,862,559,547,12,64.85%
1605,1496,917,905,12,61.30%
1606,1143,661,649,12,57.83%
1607,1614,962,942,20,59.60%
1608,1491,1034,1016,18,69.35%
1609,1266,736,718,18,58.14%
1610,1409,801,794,7,56.85%
1611,797,421,417,4,52.82%
1612,612,394,385,9,64.38%
1613,1443,833,820,13,57.73%
1614,1463,791,772,19,54.07%
1615,1211,780,765,15,64.41%
1616,1198,794,778,16,66.28%
1617,1135,679,671,8,59.82%
1618,1210,666,651,15,55.04%
1619,1027,696,681,15,67.77%
1620,1277,728,716,12,57.01%
