Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,88683,52734,52093,641,59.46%
0660,1200,857,840,17,71.42%
0661,1105,671,659,12,60.72%
0662,1234,718,710,8,58.18%
0663,1295,766,754,12,59.15%
0664,1219,673,670,3,55.21%
0665,1231,677,675,2,55.00%
0666,1042,629,620,9,60.36%
0667,1132,627,621,6,55.39%
0668,1403,765,762,3,54.53%
0669,914,532,529,3,58.21%
0670,1328,778,773,5,58.58%
0671,1000,611,603,8,61.10%
0672,1453,875,866,9,60.22%
0673,1386,877,867,10,63.28%
0674,1400,850,840,10,60.71%
0675,1057,617,612,5,58.37%
0676,1293,749,736,13,57.93%
0677,1325,659,652,7,49.74%
0678,1278,712,704,8,55.71%
0679,1099,612,606,6,55.69%
0680,1523,937,927,10,61.52%
0681,1216,687,675,12,56.50%
0682,1279,704,699,5,55.04%
0683,1206,675,665,10,55.97%
0684,1275,716,702,14,56.16%
0685,1208,802,794,8,66.39%
0686,660,381,378,3,57.73%
0687,1046,588,586,2,56.21%
0688,1310,690,687,3,52.67%
0689,1014,626,623,3,61.74%
0690,929,621,609,12,66.85%
0691,1105,656,654,2,59.37%
0692,1134,652,650,2,57.50%
0693,1155,632,626,6,54.72%
0694,1385,870,857,13,62.82%
0695,1191,734,719,15,61.63%
0696,858,519,514,5,60.49%
0697,1085,642,634,8,59.17%
0698,1378,818,813,5,59.36%
0699,1271,809,799,10,63.65%
0700,1357,733,722,11,54.02%
0701,1274,639,624,15,50.16%
0702,1379,808,802,6,58.59%
0703,1254,676,669,7,53.91%
0704,1231,684,673,11,55.56%
0705,1395,835,823,12,59.86%
0706,1198,788,784,4,65.78%
0707,1302,850,842,8,65.28%
0708,1190,745,738,7,62.61%
0709,1428,879,870,9,61.55%
0710,1420,844,835,9,59.44%
0711,1258,808,802,6,64.23%
0712,1333,731,721,10,54.84%
0713,1169,704,692,12,60.22%
0714,1473,902,891,11,61.24%
0715,1333,795,775,20,59.64%
0716,1455,920,913,7,63.23%
0717,1442,897,883,14,62.21%
0718,1511,978,953,25,64.73%
0719,1459,940,932,8,64.43%
0720,1213,722,715,7,59.52%
0721,1215,769,759,10,63.29%
0722,1168,724,719,5,61.99%
0723,1076,682,669,13,63.38%
0724,1054,637,624,13,60.44%
0725,804,493,486,7,61.32%
0726,1011,628,618,10,62.12%
0727,995,559,549,10,56.18%
0728,1489,900,886,14,60.44%
0729,1409,935,918,17,66.36%
0730,1357,845,836,9,62.27%
0731,1409,670,660,10,47.55%
