Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,26147,17367,17104,263,66.42%
0075,1070,724,708,16,67.66%
0076,987,590,578,12,59.78%
0077,1117,701,695,6,62.76%
0078,1053,684,677,7,64.96%
0079,817,559,548,11,68.42%
0080,1274,786,774,12,61.70%
0081,1369,862,850,12,62.97%
0082,1020,679,670,9,66.57%
0083,1111,672,657,15,60.49%
0084,1375,859,848,11,62.47%
0085,1302,800,788,12,61.44%
0086,1341,853,840,13,63.61%
0087,1026,738,725,13,71.93%
0088,785,515,509,6,65.61%
0089,1076,727,719,8,67.57%
0090,1045,699,691,8,66.89%
0091,1191,789,780,9,66.25%
0092,915,642,628,14,70.16%
0093,1143,800,786,14,69.99%
0094,1180,833,821,12,70.59%
0095,1333,854,842,12,64.07%
0096,775,583,572,11,75.23%
0097,710,568,563,5,80.00%
0098,1132,850,835,15,75.09%
