Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,90086,53452,52772,680,59.33%
1287,1472,468,463,5,31.79%
1288,774,449,443,6,58.01%
1289,1275,758,739,19,59.45%
1290,741,440,433,7,59.38%
1291,851,487,478,9,57.23%
1292,1278,753,743,10,58.92%
1293,912,535,526,9,58.66%
1294,804,471,466,5,58.58%
1295,1093,662,656,6,60.57%
1296,1028,617,611,6,60.02%
1297,993,602,597,5,60.62%
1298,1115,703,692,11,63.05%
1299,1170,746,734,12,63.76%
1300,1268,790,780,10,62.30%
1301,1203,798,789,9,66.33%
1302,1252,794,786,8,63.42%
1303,1242,790,774,16,63.61%
1304,1282,789,779,10,61.54%
1305,1300,838,829,9,64.46%
1306,1377,721,710,11,52.36%
1307,1378,920,906,14,66.76%
1308,1249,753,742,11,60.29%
1309,1412,831,817,14,58.85%
1310,1246,747,740,7,59.95%
1311,1251,793,780,13,63.39%
1312,1208,745,736,9,61.67%
1313,1259,763,759,4,60.60%
1314,1148,653,637,16,56.88%
1315,854,482,473,9,56.44%
1316,987,580,568,12,58.76%
1317,1195,674,655,19,56.40%
1318,1181,697,690,7,59.02%
1319,1118,634,631,3,56.71%
1320,1086,658,653,5,60.59%
1321,1030,565,562,3,54.85%
1322,1019,648,639,9,63.59%
1323,988,619,611,8,62.65%
1324,957,561,557,4,58.62%
1325,1368,762,755,7,55.70%
1326,937,485,478,7,51.76%
1327,1221,811,800,11,66.42%
1328,961,571,561,10,59.42%
1329,1019,629,623,6,61.73%
1330,1095,666,653,13,60.82%
1331,1121,638,628,10,56.91%
1332,1222,763,757,6,62.44%
1333,1361,823,808,15,60.47%
1334,1356,705,697,8,51.99%
1335,1343,770,762,8,57.33%
1336,1306,750,738,12,57.43%
1337,1361,794,784,10,58.34%
1338,1102,672,666,6,60.98%
1339,1174,746,738,8,63.54%
1340,1081,685,674,11,63.37%
1341,1332,839,829,10,62.99%
1342,1268,755,740,15,59.54%
1343,1353,823,815,8,60.83%
1344,1291,779,767,12,60.34%
1345,1380,837,824,13,60.65%
1346,1118,669,662,7,59.84%
1347,1125,739,727,12,65.69%
1348,1204,770,762,8,63.95%
1349,1210,767,762,5,63.39%
1350,1368,865,859,6,63.23%
1351,1177,627,623,4,53.27%
1352,1168,674,666,8,57.71%
1353,1191,655,651,4,55.00%
1354,1188,660,651,9,55.56%
1355,1043,611,606,5,58.58%
1356,1056,564,561,3,53.41%
1357,1121,606,601,5,54.06%
1358,1031,605,596,9,58.68%
1359,1126,606,599,7,53.82%
1360,1366,778,769,9,56.95%
1361,1241,800,795,5,64.46%
1362,1340,768,763,5,57.31%
1363,1365,851,838,13,62.34%
