Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,53585,34432,33938,494,64.26%
1741,1179,939,922,17,79.64%
1742,1105,597,590,7,54.03%
1743,1119,690,672,18,61.66%
1744,1192,741,736,5,62.16%
1745,1054,649,642,7,61.57%
1746,1176,715,705,10,60.80%
1747,992,634,623,11,63.91%
1748,1223,774,762,12,63.29%
1749,1232,809,804,5,65.67%
1750,1151,638,627,11,55.43%
1751,1210,736,719,17,60.83%
1752,1157,677,670,7,58.51%
1753,1058,667,659,8,63.04%
1754,1043,725,719,6,69.51%
1755,1168,725,719,6,62.07%
1756,1088,759,752,7,69.76%
1757,827,540,533,7,65.30%
1758,1221,752,742,10,61.59%
1759,992,687,679,8,69.25%
1760,1039,645,636,9,62.08%
1761,1213,720,706,14,59.36%
1762,1114,704,700,4,63.20%
1763,1218,696,689,7,57.14%
1764,1023,627,622,5,61.29%
1765,1265,801,789,12,63.32%
1766,1242,755,748,7,60.79%
1767,1358,872,859,13,64.21%
1768,982,730,719,11,74.34%
1769,831,567,549,18,68.23%
1770,1366,809,799,10,59.22%
1771,1048,617,612,5,58.87%
1772,1326,813,805,8,61.31%
1773,1236,761,750,11,61.57%
1774,1104,800,789,11,72.46%
1775,1122,786,773,13,70.05%
1776,1009,754,738,16,74.73%
1777,999,753,743,10,75.38%
1778,1247,906,898,8,72.65%
1779,1251,719,706,13,57.47%
1780,1235,748,731,17,60.57%
1781,937,547,540,7,58.38%
1782,1067,661,646,15,61.95%
1783,1028,701,692,9,68.19%
1784,963,647,637,10,67.19%
1785,831,564,558,6,67.87%
1786,1089,815,796,19,74.84%
1787,1108,737,721,16,66.52%
1788,1147,723,712,11,63.03%
