Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,47647,30132,29631,501,63.24%
0159,1057,623,612,11,58.94%
0160,1201,645,638,7,53.71%
0161,1247,717,708,9,57.50%
0162,1071,772,757,15,72.08%
0163,831,564,551,13,67.87%
0164,960,652,636,16,67.92%
0165,1441,903,884,19,62.66%
0166,1307,808,797,11,61.82%
0167,464,327,318,9,70.47%
0168,1107,759,754,5,68.56%
0169,743,478,471,7,64.33%
0170,1011,597,584,13,59.05%
0171,1246,818,804,14,65.65%
0172,942,570,562,8,60.51%
0173,1336,856,833,23,64.07%
0174,1381,854,834,20,61.84%
0175,1340,903,884,19,67.39%
0176,1261,819,803,16,64.95%
0177,1302,792,778,14,60.83%
0178,1472,921,909,12,62.57%
0179,1234,842,827,15,68.23%
0180,1223,785,771,14,64.19%
0181,1261,867,859,8,68.75%
0182,1275,791,782,9,62.04%
0183,936,641,632,9,68.48%
0184,1270,795,785,10,62.60%
0185,1483,884,873,11,59.61%
0186,1140,722,710,12,63.33%
0187,1183,793,780,13,67.03%
0188,1423,888,866,22,62.40%
0189,1414,851,840,11,60.18%
0190,1298,810,798,12,62.40%
0191,1231,746,736,10,60.60%
0192,1575,954,940,14,60.57%
0193,983,606,592,14,61.65%
0194,1368,837,825,12,61.18%
0195,1046,625,617,8,59.75%
0196,1157,756,743,13,65.34%
0197,1376,870,854,16,63.23%
0198,1051,691,684,7,65.75%
