Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,62727,38654,38168,486,61.62%
0360,1435,903,899,4,62.93%
0361,1367,819,811,8,59.91%
0362,1241,737,729,8,59.39%
0363,1432,836,827,9,58.38%
0364,1359,822,809,13,60.49%
0365,1558,974,966,8,62.52%
0366,1172,807,795,12,68.86%
0367,1394,850,839,11,60.98%
0368,1356,807,796,11,59.51%
0369,1684,862,852,10,51.19%
0370,1001,521,509,12,52.05%
0371,1522,879,868,11,57.75%
0372,766,458,454,4,59.79%
0373,1658,957,944,13,57.72%
0374,1408,729,720,9,51.78%
0375,1485,866,854,12,58.32%
0376,1451,807,801,6,55.62%
0377,1325,864,852,12,65.21%
0378,1199,791,787,4,65.97%
0379,1466,908,901,7,61.94%
0380,1200,719,715,4,59.92%
0381,1172,764,752,12,65.19%
0382,1060,601,598,3,56.70%
0383,1029,654,651,3,63.56%
0384,1126,663,658,5,58.88%
0385,1437,777,766,11,54.07%
0386,1237,719,708,11,58.12%
0387,1349,825,814,11,61.16%
0388,1162,588,585,3,50.60%
0389,1298,841,830,11,64.79%
0390,1349,787,780,7,58.34%
0391,1317,835,831,4,63.40%
0392,1037,628,619,9,60.56%
0393,1099,696,687,9,63.33%
0394,1249,694,690,4,55.56%
0395,596,390,382,8,65.44%
0396,920,619,608,11,67.28%
0397,1653,1148,1131,17,69.45%
0398,870,520,509,11,59.77%
0399,1149,702,696,6,61.10%
0400,1231,858,840,18,69.70%
0401,952,671,664,7,70.48%
0402,1331,945,928,17,71.00%
0403,1573,1050,1033,17,66.75%
0404,1271,862,853,9,67.82%
0405,1010,691,679,12,68.42%
0406,1067,742,733,9,69.54%
0407,1593,994,979,15,62.40%
0408,1320,873,864,9,66.14%
0409,791,601,572,29,75.98%
