Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19883,13389,13129,260,67.34%
1841,1013,670,664,6,66.14%
1842,1116,762,750,12,68.28%
1843,1036,653,643,10,63.03%
1844,889,538,532,6,60.52%
1845,855,493,482,11,57.66%
1846,1307,843,833,10,64.50%
1847,967,612,595,17,63.29%
1848,1095,815,797,18,74.43%
1849,941,626,612,14,66.52%
1850,843,589,579,10,69.87%
1851,1021,720,706,14,70.52%
1852,1007,743,716,27,73.78%
1853,830,561,553,8,67.59%
1854,570,446,441,5,78.25%
1855,963,598,587,11,62.10%
1856,865,519,510,9,60.00%
1857,962,576,565,11,59.88%
1858,1153,861,842,19,74.67%
1859,213,169,163,6,79.34%
1860,625,493,482,11,78.88%
1861,543,367,359,8,67.59%
1862,864,594,579,15,68.75%
1863,205,141,139,2,68.78%
