Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,183033,103103,101902,1201,56.33%
0732,1345,769,761,8,57.17%
0733,1236,746,740,6,60.36%
0734,1235,741,727,14,60.00%
0735,1299,700,693,7,53.89%
0736,1413,758,753,5,53.64%
0737,1415,762,756,6,53.85%
0738,1416,807,796,11,56.99%
0739,1172,598,588,10,51.02%
0740,1150,691,678,13,60.09%
0741,1102,522,516,6,47.37%
0742,1142,593,587,6,51.93%
0743,1132,710,700,10,62.72%
0744,1166,655,645,10,56.17%
0745,1129,585,580,5,51.82%
0746,1105,632,626,6,57.19%
0747,1334,778,769,9,58.32%
0748,1519,792,782,10,52.14%
0749,1602,701,693,8,43.76%
0750,2016,622,611,11,30.85%
0751,1213,728,714,14,60.02%
0752,922,648,636,12,70.28%
0753,1296,745,736,9,57.48%
0754,1260,617,611,6,48.97%
0755,1347,656,652,4,48.70%
0756,1297,659,654,5,50.81%
0757,1306,661,656,5,50.61%
0758,1325,664,659,5,50.11%
0759,1277,659,649,10,51.61%
0760,1603,1013,1005,8,63.19%
0761,1229,630,621,9,51.26%
0762,1182,686,679,7,58.04%
0763,1108,607,597,10,54.78%
0764,1282,742,735,7,57.88%
0765,1189,656,649,7,55.17%
0766,1189,634,628,6,53.32%
0767,1278,701,692,9,54.85%
0768,1347,734,728,6,54.49%
0769,1235,643,636,7,52.06%
0770,1212,703,695,8,58.00%
0771,1230,596,591,5,48.46%
0772,1306,767,758,9,58.73%
0773,1291,705,694,11,54.61%
0774,1298,742,730,12,57.16%
0775,1536,802,797,5,52.21%
0776,1430,748,743,5,52.31%
0777,1457,834,825,9,57.24%
0778,1392,923,912,11,66.31%
0779,1160,685,679,6,59.05%
0780,1260,748,745,3,59.37%
0781,1265,746,739,7,58.97%
0782,1285,787,777,10,61.25%
0783,1219,777,772,5,63.74%
0784,1026,532,528,4,51.85%
0785,946,549,546,3,58.03%
0786,1070,566,559,7,52.90%
0787,1140,718,715,3,62.98%
0788,1157,664,657,7,57.39%
0789,1102,603,592,11,54.72%
0790,1278,694,690,4,54.30%
0791,1341,784,780,4,58.46%
0792,1303,732,723,9,56.18%
0793,1406,723,714,9,51.42%
0794,1361,706,701,5,51.87%
0795,1333,728,720,8,54.61%
0796,1333,762,757,5,57.16%
0797,1310,655,651,4,50.00%
0798,1289,724,714,10,56.17%
0799,1190,649,645,4,54.54%
0800,1297,649,643,6,50.04%
0801,1114,672,658,14,60.32%
0802,1376,749,741,8,54.43%
0803,1321,819,810,9,62.00%
0804,1394,824,814,10,59.11%
0805,876,501,495,6,57.19%
0806,935,549,541,8,58.72%
0807,1196,700,691,9,58.53%
0808,1106,724,719,5,65.46%
0809,1195,673,659,14,56.32%
0810,1384,871,853,18,62.93%
0811,1368,863,856,7,63.08%
0812,1391,884,874,10,63.55%
0813,1187,645,637,8,54.34%
0814,1203,703,695,8,58.44%
0815,1242,686,679,7,55.23%
0816,1367,781,769,12,57.13%
0817,1333,699,694,5,52.44%
0818,1201,815,797,18,67.86%
0819,1237,865,857,8,69.93%
0820,1213,785,774,11,64.72%
0821,1024,687,680,7,67.09%
0822,995,634,626,8,63.72%
0823,999,548,544,4,54.85%
0824,1004,570,562,8,56.77%
0825,1130,639,636,3,56.55%
0826,1193,771,764,7,64.63%
0827,1159,640,631,9,55.22%
0828,1074,618,612,6,57.54%
0829,1075,595,592,3,55.35%
0830,1095,633,627,6,57.81%
0831,1367,795,782,13,58.16%
0832,1130,613,604,9,54.25%
0833,1213,667,662,5,54.99%
0834,1188,751,734,17,63.22%
0835,1008,624,607,17,61.90%
0836,1054,630,616,14,59.77%
0837,1172,718,706,12,61.26%
0838,1054,626,618,8,59.39%
0839,1647,944,927,17,57.32%
0840,1360,812,796,16,59.71%
0841,1273,775,771,4,60.88%
0842,1342,700,692,8,52.16%
0843,1292,666,662,4,51.55%
0844,1369,691,683,8,50.47%
0845,1290,638,632,6,49.46%
0846,1343,659,644,15,49.07%
0847,1341,684,678,6,51.01%
0848,1437,885,880,5,61.59%
0849,1438,860,847,13,59.81%
0850,1390,815,808,7,58.63%
0851,1339,770,761,9,57.51%
0852,1412,783,772,11,55.45%
0853,1435,742,735,7,51.71%
0854,1266,665,658,7,52.53%
0855,1178,714,711,3,60.61%
0856,1384,755,747,8,54.55%
0857,1212,721,711,10,59.49%
0858,1191,684,676,8,57.43%
0859,1190,617,611,6,51.85%
0860,1428,709,699,10,49.65%
0861,1439,696,688,8,48.37%
0862,1631,724,718,6,44.39%
0863,1511,693,688,5,45.86%
0864,1462,881,870,11,60.26%
0865,1347,807,795,12,59.91%
0866,1314,793,781,12,60.35%
0867,1095,641,634,7,58.54%
0868,1011,603,598,5,59.64%
0869,994,604,595,9,60.76%
0870,1119,672,665,7,60.05%
0871,1265,788,778,10,62.29%
0872,1143,660,648,12,57.74%
0873,1083,683,676,7,63.07%
0874,1184,726,720,6,61.32%
0875,1122,694,684,10,61.85%
0876,1060,664,655,9,62.64%
0877,1087,672,662,10,61.82%
