Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,25331,16440,15963,477,64.90%
0559,1172,843,821,22,71.93%
0560,858,626,598,28,72.96%
0561,1092,650,639,11,59.52%
0562,866,567,551,16,65.47%
0563,633,406,387,19,64.14%
0564,705,519,503,16,73.62%
0565,1075,747,727,20,69.49%
0566,1034,723,704,19,69.92%
0567,697,437,421,16,62.70%
0568,737,459,440,19,62.28%
0569,816,583,554,29,71.45%
0570,878,646,616,30,73.58%
0571,1102,674,661,13,61.16%
0572,927,592,581,11,63.86%
0573,775,515,507,8,66.45%
0574,1317,783,767,16,59.45%
0575,1266,850,823,27,67.14%
0576,1109,701,677,24,63.21%
0577,1161,758,732,26,65.29%
0578,683,458,447,11,67.06%
0579,1245,797,779,18,64.02%
0580,1153,739,726,13,64.09%
0581,1140,688,672,16,60.35%
0582,1348,755,735,20,56.01%
0583,967,559,543,16,57.81%
0584,575,365,352,13,63.48%
