Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,161423,97554,95384,2170,60.43%
0661,1465,866,841,25,59.11%
0662,1364,753,735,18,55.21%
0663,1034,619,598,21,59.86%
0664,1229,743,726,17,60.46%
0665,1135,658,642,16,57.97%
0666,1124,652,642,10,58.01%
0667,1197,737,725,12,61.57%
0668,1358,861,846,15,63.40%
0669,1255,814,788,26,64.86%
0670,1096,619,602,17,56.48%
0671,1148,673,658,15,58.62%
0672,1065,634,622,12,59.53%
0673,1129,622,614,8,55.09%
0674,958,590,572,18,61.59%
0675,1158,776,757,19,67.01%
0676,1178,758,739,19,64.35%
0677,1172,750,729,21,63.99%
0678,1135,716,700,16,63.08%
0679,1176,728,714,14,61.90%
0680,1668,988,958,30,59.23%
0681,1256,797,787,10,63.46%
0682,1041,627,613,14,60.23%
0683,1047,638,624,14,60.94%
0684,1158,598,588,10,51.64%
0685,1048,588,573,15,56.11%
0686,1103,678,644,34,61.47%
0687,1112,613,596,17,55.13%
0688,1222,791,768,23,64.73%
0689,1452,853,835,18,58.75%
0690,1201,735,720,15,61.20%
0691,1053,641,633,8,60.87%
0692,1193,682,673,9,57.17%
0693,1341,732,722,10,54.59%
0694,1306,749,739,10,57.35%
0695,1112,692,685,7,62.23%
0696,954,598,581,17,62.68%
0697,1112,737,720,17,66.28%
0698,1152,763,751,12,66.23%
0699,1249,748,730,18,59.89%
0700,1039,599,594,5,57.65%
0701,1126,707,684,23,62.79%
0702,1066,657,647,10,61.63%
0703,999,563,554,9,56.36%
0704,1428,825,809,16,57.77%
0705,1290,742,731,11,57.52%
0706,1504,908,897,11,60.37%
0707,1415,834,820,14,58.94%
0708,1284,717,703,14,55.84%
0709,1022,578,568,10,56.56%
0710,1020,677,667,10,66.37%
0711,908,500,491,9,55.07%
0712,928,577,565,12,62.18%
0713,1097,592,577,15,53.97%
0714,1044,629,623,6,60.25%
0715,1194,700,685,15,58.63%
0716,955,569,560,9,59.58%
0717,1285,716,705,11,55.72%
0718,1399,771,759,12,55.11%
0719,1405,743,730,13,52.88%
0720,1382,722,715,7,52.24%
0721,1053,662,653,9,62.87%
0722,1167,692,682,10,59.30%
0723,1279,753,741,12,58.87%
0724,1131,672,653,19,59.42%
0725,931,529,516,13,56.82%
0726,1401,875,853,22,62.46%
0727,993,700,675,25,70.49%
0728,1083,686,677,9,63.34%
0729,1150,720,700,20,62.61%
0730,1119,700,678,22,62.56%
0731,1566,1029,1009,20,65.71%
0732,898,589,569,20,65.59%
0733,855,574,561,13,67.13%
0734,921,681,664,17,73.94%
0735,932,612,591,21,65.67%
0736,1242,722,701,21,58.13%
0737,1302,778,759,19,59.75%
0738,1008,670,649,21,66.47%
0739,990,569,553,16,57.47%
0740,1010,586,573,13,58.02%
0741,1255,711,698,13,56.65%
0742,959,670,654,16,69.86%
0743,1112,735,715,20,66.10%
0744,1375,804,782,22,58.47%
0745,1257,635,618,17,50.52%
0746,1007,596,587,9,59.19%
0747,1460,978,955,23,66.99%
0748,1249,791,767,24,63.33%
0749,1369,724,713,11,52.89%
0750,1281,705,693,12,55.04%
0751,1257,708,694,14,56.32%
0752,1346,694,683,11,51.56%
0753,1284,708,697,11,55.14%
0754,1261,336,334,2,26.65%
0755,1241,701,683,18,56.49%
0756,1075,613,601,12,57.02%
0757,1181,691,679,12,58.51%
0758,1138,655,642,13,57.56%
0759,956,526,516,10,55.02%
0760,1166,633,613,20,54.29%
0761,1091,646,629,17,59.21%
0762,978,598,586,12,61.15%
0763,1022,604,595,9,59.10%
0764,926,583,571,12,62.96%
0765,1303,835,826,9,64.08%
0766,1364,867,850,17,63.56%
0767,1443,919,898,21,63.69%
0768,1024,657,645,12,64.16%
0769,1766,884,866,18,50.06%
0770,1048,655,653,2,62.50%
0771,1137,628,621,7,55.23%
0772,1008,517,507,10,51.29%
0773,956,565,555,10,59.10%
0774,1036,518,512,6,50.00%
0775,968,526,513,13,54.34%
0776,909,597,585,12,65.68%
0777,1192,673,664,9,56.46%
0778,1092,679,668,11,62.18%
0779,1080,635,623,12,58.80%
0780,1091,672,658,14,61.59%
0781,1212,805,783,22,66.42%
0782,1198,739,724,15,61.69%
0783,1419,803,793,10,56.59%
0784,1031,680,659,21,65.96%
0785,808,500,483,17,61.88%
0786,762,463,448,15,60.76%
0787,814,574,550,24,70.52%
0788,965,650,633,17,67.36%
0789,1392,980,953,27,70.40%
0790,1431,1040,1007,33,72.68%
0791,1393,1002,973,29,71.93%
0792,852,647,617,30,75.94%
0793,649,452,440,12,69.65%
0794,1018,799,777,22,78.49%
0795,566,446,426,20,78.80%
0796,672,484,473,11,72.02%
0797,1409,828,807,21,58.77%
0798,846,625,601,24,73.88%
0799,978,726,704,22,74.23%
0800,844,595,568,27,70.50%
0801,771,450,441,9,58.37%
0802,753,452,444,8,60.03%
