Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,55962,29424,28905,519,52.58%
1119,1105,647,634,13,58.55%
1120,1431,718,705,13,50.17%
1121,1277,668,656,12,52.31%
1122,1347,717,698,19,53.23%
1123,1200,578,575,3,48.17%
1124,1128,618,610,8,54.79%
1125,1336,741,727,14,55.46%
1126,1350,701,693,8,51.93%
1127,1437,723,710,13,50.31%
1128,1343,708,692,16,52.72%
1129,1331,727,715,12,54.62%
1130,1154,641,629,12,55.55%
1131,1281,644,631,13,50.27%
1132,1169,606,600,6,51.84%
1133,1126,637,630,7,56.57%
1134,1481,708,698,10,47.81%
1135,1342,696,683,13,51.86%
1136,1406,601,593,8,42.75%
1137,1380,706,684,22,51.16%
1138,1481,794,779,15,53.61%
1139,1463,807,790,17,55.16%
1140,1489,825,809,16,55.41%
1141,1340,602,589,13,44.93%
1142,1211,587,581,6,48.47%
1143,1302,658,657,1,50.54%
1144,1237,603,597,6,48.75%
1145,1465,752,746,6,51.33%
1146,1258,607,598,9,48.25%
1147,1337,778,770,8,58.19%
1148,1183,671,657,14,56.72%
1149,1247,642,629,13,51.48%
1150,1240,618,611,7,49.84%
1151,1289,619,613,6,48.02%
1152,1482,580,572,8,39.14%
1153,409,255,253,2,62.35%
1154,1599,835,823,12,52.22%
1155,1560,885,865,20,56.73%
1156,1063,587,575,12,55.22%
1157,1009,577,562,15,57.19%
1158,1002,627,611,16,62.57%
1159,1352,801,778,23,59.25%
1160,1345,732,717,15,54.42%
1161,856,488,472,16,57.01%
1162,1119,709,688,21,63.36%
