Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,23116,14168,13646,522,61.29%
0030,926,552,540,12,59.61%
0031,684,392,382,10,57.31%
0032,805,462,446,16,57.39%
0033,939,533,525,8,56.76%
0034,1080,598,587,11,55.37%
0035,1321,712,687,25,53.90%
0036,680,396,377,19,58.24%
0037,857,529,513,16,61.73%
0038,869,639,616,23,73.53%
0039,754,470,445,25,62.33%
0040,509,285,277,8,55.99%
0041,422,323,312,11,76.54%
0042,556,426,404,22,76.62%
0043,340,180,176,4,52.94%
0044,464,234,227,7,50.43%
0045,579,356,339,17,61.49%
0046,352,202,196,6,57.39%
0047,395,223,213,10,56.46%
0048,717,367,349,18,51.19%
0049,748,467,440,27,62.43%
0050,1098,631,603,28,57.47%
0051,657,344,337,7,52.36%
0052,643,351,340,11,54.59%
0053,591,397,379,18,67.17%
0054,804,588,566,22,73.13%
0055,825,582,559,23,70.55%
0056,673,464,439,25,68.95%
0057,1274,753,729,24,59.11%
0058,674,420,402,18,62.31%
0059,624,480,459,21,76.92%
0060,787,536,519,17,68.11%
0061,469,276,263,13,58.85%
