Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,9166,6428,6175,253,70.13%
0200,433,308,299,9,71.13%
0201,375,283,273,10,75.47%
0202,438,317,308,9,72.37%
0203,341,256,246,10,75.07%
0204,324,250,242,8,77.16%
0205,347,287,272,15,82.71%
0206,668,459,446,13,68.71%
0207,584,406,392,14,69.52%
0208,539,353,339,14,65.49%
0209,506,338,328,10,66.80%
0210,284,196,190,6,69.01%
0211,434,238,233,5,54.84%
0212,888,657,629,28,73.99%
0213,700,574,539,35,82.00%
0214,639,500,472,28,78.25%
0215,492,344,319,25,69.92%
0216,579,303,298,5,52.33%
0217,595,359,350,9,60.34%
