Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,17209,9849,9492,357,57.23%
0062,1363,668,659,9,49.01%
0063,1102,564,550,14,51.18%
0064,1268,626,616,10,49.37%
0065,685,370,355,15,54.01%
0066,659,357,350,7,54.17%
0067,990,500,484,16,50.51%
0068,885,447,419,28,50.51%
0069,590,405,376,29,68.64%
0070,533,384,350,34,72.05%
0071,796,543,515,28,68.22%
0072,716,451,432,19,62.99%
0073,464,290,278,12,62.50%
0074,582,356,347,9,61.17%
0075,401,196,193,3,48.88%
0076,360,248,236,12,68.89%
0077,400,350,336,14,87.50%
0078,1136,548,532,16,48.24%
0079,820,407,397,10,49.63%
0080,596,309,290,19,51.85%
0081,1007,705,679,26,70.01%
0082,1006,666,647,19,66.20%
0083,850,459,451,8,54.00%
