Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,145871,82960,81592,1368,56.87%
1258,1960,659,648,11,33.62%
1259,1226,660,650,10,53.83%
1260,971,527,516,11,54.27%
1261,866,520,510,10,60.05%
1262,903,532,521,11,58.91%
1263,922,482,475,7,52.28%
1264,967,548,543,5,56.67%
1265,951,533,520,13,56.05%
1266,876,506,500,6,57.76%
1267,787,461,460,1,58.58%
1268,878,500,494,6,56.95%
1269,715,396,389,7,55.38%
1270,957,521,516,5,54.44%
1271,911,530,519,11,58.18%
1272,810,446,442,4,55.06%
1273,1039,573,558,15,55.15%
1274,1268,691,677,14,54.50%
1275,960,575,563,12,59.90%
1276,1025,573,569,4,55.90%
1277,1030,578,570,8,56.12%
1278,974,579,572,7,59.45%
1279,1524,838,818,20,54.99%
1280,1412,840,826,14,59.49%
1281,1491,850,835,15,57.01%
1282,770,415,410,5,53.90%
1283,935,556,552,4,59.47%
1284,1036,553,546,7,53.38%
1285,925,487,478,9,52.65%
1286,1349,743,729,14,55.08%
1287,1032,560,548,12,54.26%
1288,1047,568,566,2,54.25%
1289,945,509,508,1,53.86%
1290,903,447,445,2,49.50%
1291,1242,667,658,9,53.70%
1292,1259,704,696,8,55.92%
1293,1126,687,669,18,61.01%
1294,1324,701,684,17,52.95%
1295,1231,696,683,13,56.54%
1296,1128,671,653,18,59.49%
1297,1105,639,625,14,57.83%
1298,1018,529,520,9,51.96%
1299,936,511,501,10,54.59%
1300,1371,805,791,14,58.72%
1301,1357,764,752,12,56.30%
1302,1202,766,752,14,63.73%
1303,888,507,498,9,57.09%
1304,885,465,452,13,52.54%
1305,993,561,551,10,56.50%
1306,852,450,435,15,52.82%
1307,1048,646,636,10,61.64%
1308,1222,726,717,9,59.41%
1309,1173,683,674,9,58.23%
1310,1098,652,636,16,59.38%
1311,932,553,543,10,59.33%
1312,1246,754,745,9,60.51%
1313,1450,827,812,15,57.03%
1314,1253,722,712,10,57.62%
1315,1320,835,819,16,63.26%
1316,1214,707,697,10,58.24%
1317,1260,727,720,7,57.70%
1318,1271,761,750,11,59.87%
1319,1038,658,640,18,63.39%
1320,1363,844,818,26,61.92%
1321,767,484,465,19,63.10%
1322,1448,816,803,13,56.35%
1323,1418,756,742,14,53.31%
1324,1519,869,857,12,57.21%
1325,1202,724,716,8,60.23%
1326,1384,777,763,14,56.14%
1327,1247,714,701,13,57.26%
1328,1059,572,567,5,54.01%
1329,1292,687,675,12,53.17%
1330,1286,724,716,8,56.30%
1331,1118,598,589,9,53.49%
1332,1248,718,709,9,57.53%
1333,1186,705,692,13,59.44%
1334,1056,674,662,12,63.83%
1335,1158,664,650,14,57.34%
1336,1127,625,620,5,55.46%
1337,1146,631,618,13,55.06%
1338,990,541,534,7,54.65%
1339,1016,621,610,11,61.12%
1340,1293,707,696,11,54.68%
1341,1199,677,665,12,56.46%
1342,1316,662,655,7,50.30%
1343,1240,664,650,14,53.55%
1344,1054,614,601,13,58.25%
1345,1063,609,602,7,57.29%
1346,1100,630,618,12,57.27%
1347,1001,552,539,13,55.14%
1348,1073,581,571,10,54.15%
1349,1200,695,683,12,57.92%
1350,1102,653,642,11,59.26%
1351,1324,797,784,13,60.20%
1352,1035,588,579,9,56.81%
1353,1053,603,597,6,57.26%
1354,1019,528,522,6,51.82%
1355,996,569,564,5,57.13%
1356,878,515,507,8,58.66%
1357,915,541,534,7,59.13%
1358,900,572,566,6,63.56%
1359,1270,686,670,16,54.02%
1360,977,529,520,9,54.15%
1361,1148,644,638,6,56.10%
1362,1109,635,623,12,57.26%
1363,833,492,486,6,59.06%
1364,892,531,526,5,59.53%
1365,1001,582,573,9,58.14%
1366,1290,803,797,6,62.25%
1367,966,567,559,8,58.70%
1368,1066,657,647,10,61.63%
1369,992,587,580,7,59.17%
1370,1005,599,590,9,59.60%
1371,983,570,560,10,57.99%
1372,994,602,592,10,60.56%
1373,1045,613,606,7,58.66%
1374,1214,760,746,14,62.60%
1375,1066,644,633,11,60.41%
1376,1187,734,724,10,61.84%
1377,1435,870,853,17,60.63%
1378,1437,826,810,16,57.48%
1379,1294,720,707,13,55.64%
1380,1358,779,762,17,57.36%
1381,1389,778,766,12,56.01%
1382,1480,894,877,17,60.41%
1383,1026,528,524,4,51.46%
1384,1049,554,542,12,52.81%
1385,1279,747,736,11,58.41%
1386,1146,647,634,13,56.46%
1387,1342,751,735,16,55.96%
