Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,28957,18733,18285,448,64.69%
1501,938,557,545,12,59.38%
1502,1285,787,772,15,61.25%
1503,925,553,545,8,59.78%
1504,1039,655,639,16,63.04%
1505,912,579,565,14,63.49%
1506,956,624,611,13,65.27%
1507,1218,778,764,14,63.88%
1508,1259,739,719,20,58.70%
1509,1157,734,719,15,63.44%
1510,1011,769,740,29,76.06%
1511,669,395,376,19,59.04%
1512,1112,732,715,17,65.83%
1513,1031,714,702,12,69.25%
1514,975,618,606,12,63.38%
1515,1045,597,578,19,57.13%
1516,951,536,528,8,56.36%
1517,980,591,583,8,60.31%
1518,943,668,654,14,70.84%
1519,946,707,686,21,74.74%
1520,743,504,491,13,67.83%
1521,594,397,386,11,66.84%
1522,933,610,600,10,65.38%
1523,1069,664,642,22,62.11%
1524,719,554,536,18,77.05%
1525,677,525,510,15,77.55%
1526,783,478,468,10,61.05%
1527,330,201,191,10,60.91%
1528,750,531,522,9,70.80%
1529,680,518,503,15,76.18%
1530,871,494,484,10,56.72%
1531,1010,572,562,10,56.63%
1532,446,352,343,9,78.92%
