Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,18070,11592,11273,319,64.15%
0448,1054,737,721,16,69.92%
0449,928,625,603,22,67.35%
0450,983,537,524,13,54.63%
0451,1016,546,529,17,53.74%
0452,1107,629,613,16,56.82%
0453,891,569,550,19,63.86%
0454,262,146,143,3,55.73%
0455,388,280,269,11,72.16%
0456,905,598,587,11,66.08%
0457,997,623,612,11,62.49%
0458,889,473,461,12,53.21%
0459,1204,705,691,14,58.55%
0460,1330,696,689,7,52.33%
0461,1191,856,835,21,71.87%
0462,1180,816,790,26,69.15%
0463,543,350,330,20,64.46%
0464,462,356,347,9,77.06%
0465,677,518,490,28,76.51%
0466,765,589,571,18,76.99%
0467,492,361,350,11,73.37%
0468,806,582,568,14,72.21%
